,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856577,0.6919693919931245,1e-05,0.19663748533545677,1e-05,0.5805128319728545,1.1474930464208748,0.9764834857210866,1.005837724208829,1e-05,0.6952849439504055,0.18614693276294036,0.48667754365661986,0.14093369380669896,1.0890462132306487,3.5933109074719285,2.12507696982592,2.1830503177463885,1.2030197261107312,1e-05,0.40929187947069195,0.6419637696806102
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568214997,0.6279208837246744,0.18261305531612065,0.2402383415940828,0.2037741352973621,1e-05,0.8208840913756374,0.4924372788710639,0.8120704643743223,1.3304031006727595,1.7732680738986502,1.3666888373793908,1.1364675515362892,1e-05,0.8783651954824887,2.06327329688571,2.5913467059674415,1.3085835267533032,1e-05,0.636024015963423,0.1498091893787768,1e-05
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894086,0.6893787285804004,1e-05,0.27539818635095614,1e-05,0.9252014626778874,1.3657776442183898,1.2095247634794724,1.4056181614737184,1e-05,1.1496951913637024,0.9833994947034027,0.7409502801975378,0.23947117712550148,1.6692592379287023,2.184598153946428,1.7177615163227518,1.9106437611496925,0.26523842172380996,1.0362016067512927,0.12589850958340515,1e-05
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313984,0.664798578843857,1e-05,0.11108207640304929,0.18647236333053702,1e-05,0.5796226703876893,0.5111042647300532,0.8356948658979344,0.964909076430253,1.663167269200318,1.0980696979540618,1.236266776229212,1e-05,0.23194897619122645,3.1287501215009805,2.735916865370407,1.3997709621534695,1e-05,1e-05,0.3513980391634245,0.5216759395612915
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183233,0.6526686492631555,1e-05,0.10398163987937858,0.11294566638619857,0.03360817236539171,0.7626910162823863,0.5676661740725151,0.7121533106424229,1.6420012130455737,2.0868999836996984,1.4997979229715952,0.6609513599501318,0.14446754345771862,0.3321213212513384,1.625724074375261,3.2053989280866837,1.4759646104410837,1e-05,0.8969063354383298,0.11758524874002055,1e-05
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.6294356400072221,0.6346819180356424,1e-05,0.21447543878806558,1e-05,0.10644548720347113,1.0602050191613963,0.9073322874237963,1.226918834325727,1e-05,0.611685201562642,0.33668247336672086,1.1251581474130659,1e-05,1.3667659880436038,4.016839186193069,1.7836278354608284,1.843191878978371,0.9461862205523797,1e-05,0.4056789314027288,0.7650836808657749
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665154,0.7009945881311743,1e-05,0.3969775714049606,1e-05,0.38847350390593327,1.0425778283501024,1.0435107841196118,2.0192055089784358,1.2102682925452861,1.6010918682293818,0.6536354901634981,0.20364059083228114,1e-05,1e-05,1.8651261412966003,2.7734214569002686,2.446917380633831,1e-05,0.5033592194318302,0.6599611219666213,0.2647097675540807
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220033,0.621297389232425,0.142394086607452,0.007962826658071298,1e-05,0.2513961454178347,0.8419157753418061,0.18151451456611767,0.12129109419375073,1e-05,1.2149920005639412,1.234427428697339,1.3161635785229187,0.39954527086406005,1.612697725849749,3.5125631833468542,2.1126012255698194,1.5927410102620587,0.15127207005090987,0.22504345148414773,1e-05,0.42099545929335325
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.6252912621782096,0.6722513068460967,0.47426550697800524,0.010570488815211054,1e-05,1e-05,0.36586450123440517,0.6387887656045981,1.4165908064518515,1e-05,1.2240109790813194,1.1385581580156332,0.9249519415004869,1e-05,1.001543100024213,3.803327610945436,2.221785541741709,1.2439631688138633,0.8754664873572213,1e-05,0.9205921577191953,1e-05
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042703,0.6714900283926506,1e-05,0.2827985851033756,1e-05,0.772453496274535,1.2648852642943837,0.9861900990161487,0.5477927830132658,1.3498128395633506,1.5149031453160335,1.1214163254267644,1.1656705066943345,0.4642805009265073,1.0041643172553427,1.8258118630563653,2.1338158943251297,1.7384091247782723,1e-05,0.7236403231416155,1e-05,0.5817177314022465
0,10,[0 1 2 3 6 7],[ 4  5  8  9 10 11],0.7031896677008961,0.7234267432733568,1e-05,1e-05,1e-05,0.555950283428964,1.4264079699162242,0.9043376275851138,0.9637699702369505,1e-05,1.7486417322009944,1.0882766043267982,1.433845086786556,1e-05,0.20308429752141488,2.9740738423126567,3.353566799749423,3.11175461904608,1e-05,1e-05,1e-05,1.231719579047934
0,11,[ 4  5  8  9 10 11],[0 1 2 3 6 7],0.4977555521399885,0.5705163961474148,0.9708882279669188,0.7239485814109767,0.3212332993045189,1e-05,0.570713504419079,0.7420427384490955,1.2017392475445936,1.0154113406580159,1.1929437418824982,1.094034878718641,0.8454204928876907,0.14799979772952299,1.190148963851888,2.5418525166994437,1.8521271187695538,0.6177871939244624,0.5253663816025025,0.849870022033939,0.9187494434971135,1e-05
0,12,[ 1  3  5  8  9 10],[ 0  2  4  6  7 11],0.6571212406446547,0.718399267934845,0.49456233386029513,1e-05,1e-05,1e-05,0.047349183373587955,0.530571832617637,1.6806246737916881,1e-05,1.5095066655972764,1.19463780185208,1.2474903470615033,1e-05,1.2524376829293156,3.9711274233120486,2.469950171177939,1.0950829882202793,0.5407823555255276,0.00818693369283141,1.1979365950351486,1e-05
0,13,[ 0  2  4  6  7 11],[ 1  3  5  8  9 10],0.565668960607637,0.6227113561370535,1e-05,0.3822559566009357,1e-05,0.7189140963314742,1.252957337021598,1.053560498136853,0.7397228210402336,1.1466644354896283,1.3937171450443344,1.1023509701293521,1.023483940812358,0.4636844495268078,0.7065333121185662,2.0646030333587344,2.0030457007185705,1.6855082713113891,1e-05,0.30864356662611236,1e-05,0.9085917876710081
0,14,[ 4  6  7  8  9 11],[ 0  1  2  3  5 10],0.5555869759020677,0.6532319000995123,1e-05,0.6547191630023661,1e-05,0.36217165737122975,0.7081195297431258,1.085149492713954,1.1340998029780944,1.1302957581121098,0.9826394035492608,0.9906648049996848,0.35537805495593855,0.46552851231649633,0.8235914824189883,2.615894452917858,2.2174518089655915,1.1922346845980367,0.8424193010090963,0.5441274322674998,0.7108450831864093,0.20919623429627832
0,15,[ 0  1  2  3  5 10],[ 4  6  7  8  9 11],0.6585419820786766,0.7111013543747359,1e-05,1e-05,1e-05,1e-05,1.197710842326888,0.5486135483405084,0.9529707175074209,1e-05,2.2084252550557637,1.2005269940500665,2.0760044361197556,1e-05,0.8006471374755844,3.30324182344701,2.9282433289839345,2.5206769991949183,1e-05,1e-05,1e-05,1e-05
