,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,-76.9561771157546
1,8,3,11,1,15,-0.6,mean,-297.08229713051514
2,9,1,3,2,4,0.0499999999999999,mean,-112.22567293360271
3,7,2,13,3,7,0.2499999999999999,mean,-156.93745810321047
4,2,1,8,2,7,0.3999999999999999,mean,150.60416697359074
5,3,2,9,1,11,-0.8500000000000001,mean,-400.8240081682318
6,7,1,10,2,5,0.8,mean,522.9464013894585
7,5,2,4,3,14,-0.45,mean,184.46710853779246
8,1,3,15,1,8,-0.95,mean,-304.4806346906355
9,9,1,10,3,10,0.85,mean,489.433812256947
10,11,3,11,2,12,0.75,mean,110.29922045111903
11,11,3,10,2,3,-0.85,mean,-592.4827683749672
12,3,2,9,1,7,-0.6000000000000001,mean,-601.8154156013418
13,8,2,5,3,10,-0.35,mean,-12.192571879581465
14,5,1,1,2,5,0.1999999999999999,mean,318.3514409398449
15,6,1,12,3,13,-0.1,mean,65.95500224776515
16,4,2,6,3,13,0.0499999999999999,mean,-282.0237012240814
17,7,1,15,2,11,0.45,mean,513.0993701658529
18,1,1,11,2,3,0.75,mean,328.5855846487268
19,11,1,11,3,4,0.6000000000000001,mean,325.7466039128251
20,10,1,2,2,7,0.8,mean,74.26412450252383
21,8,1,10,2,10,0.1999999999999999,mean,355.94163768569115
22,12,2,6,3,14,0.0499999999999999,mean,186.61003721291468
23,12,3,4,1,1,-0.1999999999999999,mean,-322.9905315337501
24,2,2,7,3,7,2.775557561562892e-17,mean,-63.4816846327999
25,2,1,3,2,6,0.4499999999999999,mean,294.40179609169286
26,4,3,7,2,11,-0.25,mean,-56.96005504973118
27,6,1,2,2,5,0.3,mean,178.57521710812534
28,1,3,7,2,11,-0.75,mean,112.8251651611165
29,5,3,14,1,6,-0.2,mean,-810.7319764864451
30,9,2,13,1,2,-0.95,mean,-326.05164101479
31,12,3,12,2,2,-0.05,mean,-236.61355292543658
32,4,2,3,3,6,0.0,mean,-282.50204859873065
33,2,3,1,1,1,-0.5,mean,-194.7645116623289
34,12,2,5,3,8,0.0999999999999999,mean,226.9238953103736
35,11,3,2,1,9,-0.8500000000000001,mean,-295.53445907157766
36,9,3,2,2,13,0.4,mean,-176.31218252453345
37,10,1,14,3,2,0.9,mean,397.94655467643906
38,4,2,9,1,5,0.0499999999999999,mean,34.15297370394933
