,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,-69.50641967194224
1,8,3,11,1,15,-0.6,mean,-312.51094222546135
2,9,1,3,2,4,0.0499999999999999,mean,-105.35366233243826
3,7,2,13,3,7,0.2499999999999999,mean,-136.9468920715708
4,2,1,8,2,7,0.3999999999999999,mean,183.45430529513874
5,3,2,9,1,11,-0.8500000000000001,mean,-495.4654346212965
6,7,1,10,2,5,0.8,mean,518.2951590876592
7,5,2,4,3,14,-0.45,mean,194.12941965401637
8,1,3,15,1,8,-0.95,mean,-289.7943570509615
9,9,1,10,3,10,0.85,mean,470.6397024270607
10,11,3,11,2,12,0.75,mean,186.46281707986213
11,11,3,10,2,3,-0.85,mean,-569.4889496897406
12,3,2,9,1,7,-0.6000000000000001,mean,-660.6289273935236
13,8,2,5,3,10,-0.35,mean,-27.92880791714947
14,5,1,1,2,5,0.1999999999999999,mean,283.43762439482293
15,6,1,12,3,13,-0.1,mean,58.449365400507986
16,4,2,6,3,13,0.0499999999999999,mean,-239.96047834332808
17,7,1,15,2,11,0.45,mean,515.4097390478692
18,1,1,11,2,3,0.75,mean,283.32204782586496
19,11,1,11,3,4,0.6000000000000001,mean,430.14624325744876
20,10,1,2,2,7,0.8,mean,155.20180322472288
21,8,1,10,2,10,0.1999999999999999,mean,355.81598132218437
22,12,2,6,3,14,0.0499999999999999,mean,187.00112000388503
23,12,3,4,1,1,-0.1999999999999999,mean,-325.48906762993533
24,2,2,7,3,7,2.775557561562892e-17,mean,-67.17415955821684
25,2,1,3,2,6,0.4499999999999999,mean,298.09436050954855
26,4,3,7,2,11,-0.25,mean,-58.58462143405268
27,6,1,2,2,5,0.3,mean,190.10433068168004
28,1,3,7,2,11,-0.75,mean,44.3474178894196
29,5,3,14,1,6,-0.2,mean,-825.4663386269683
30,9,2,13,1,2,-0.95,mean,-314.1286982763777
31,12,3,12,2,2,-0.05,mean,-243.43298504189102
32,4,2,3,3,6,0.0,mean,-277.48330352656603
33,2,3,1,1,1,-0.5,mean,-199.09456015291744
34,12,2,5,3,8,0.0999999999999999,mean,208.36691576631188
35,11,3,2,1,9,-0.8500000000000001,mean,-269.76790410185595
36,9,3,2,2,13,0.4,mean,-172.23630469126442
37,10,1,14,3,2,0.9,mean,429.65324679224886
38,4,2,9,1,5,0.0499999999999999,mean,21.358276876887885
39,7,3,11,1,11,-0.4,mean,-510.5674608980935
40,3,3,1,2,5,-0.75,mean,-595.2340831517774
41,10,2,14,1,10,-0.9,mean,-189.28831593249834
42,5,2,12,1,5,-0.5,mean,-723.9600502568708
43,5,3,3,1,14,-0.45,mean,-928.1034187674311
44,7,3,9,2,1,0.1,mean,109.27443213745823
45,3,3,4,2,15,-0.2499999999999999,mean,15.050171996833797
46,12,1,3,2,5,0.4,mean,56.04207753949663
47,10,3,4,2,11,0.3,mean,76.0462002005188
48,9,2,8,3,13,0.7,mean,-161.18163210647754
49,1,1,12,3,9,0.8,mean,521.6196765511474
50,7,2,13,3,14,0.0999999999999999,mean,-44.284051026347925
51,9,3,1,2,14,0.25,mean,-335.6733944173052
52,10,2,1,3,15,-0.3,mean,-168.15231966173337
53,7,2,5,1,10,-0.6000000000000001,mean,-518.2951590876592
54,2,2,11,3,13,0.35,mean,-99.0731965526013
55,4,1,1,2,9,0.1999999999999999,mean,328.72940575047346
56,8,1,3,2,15,0.55,mean,359.14904010649593
57,2,1,5,2,12,-0.45,mean,-48.69264160974194
58,2,3,12,1,14,0.0999999999999999,mean,-216.58899561852013
59,3,1,11,2,2,0.2499999999999999,mean,173.69002871558405
60,12,2,7,1,12,-2.775557561562892e-17,mean,-156.4289448083191
61,11,1,6,3,11,-0.75,mean,-166.7114448851139
62,8,3,2,2,5,0.15,mean,-75.87440649623454
63,10,1,12,3,1,0.7,mean,79.02063570136784
64,7,2,6,1,7,-0.6000000000000001,mean,-587.2024632553871
65,6,1,6,2,3,0.0499999999999999,mean,-162.61761427904935
