,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,169.960565162065
1,8,3,11,1,15,-0.6,mean,-534.2625023168664
2,9,1,3,2,4,0.0499999999999999,mean,-17.56977128831477
3,7,2,13,3,7,0.2499999999999999,mean,47.98320364929782
4,2,1,8,2,7,0.3999999999999999,mean,396.08227332381966
5,3,2,9,1,11,-0.8500000000000001,mean,-347.3168827375373
6,7,1,10,2,5,0.8,mean,408.41939992767993
7,5,2,4,3,14,-0.45,mean,497.02507088397056
8,1,3,15,1,8,-0.95,mean,-27.744592302016827
9,9,1,10,3,10,0.85,mean,491.684016476471
10,11,3,11,2,12,0.75,mean,726.6746005804491
11,11,3,10,2,3,-0.85,mean,321.6805135047691
12,3,2,9,1,7,-0.6000000000000001,mean,-543.6078748436687
13,8,2,5,3,10,-0.35,mean,88.97099560051765
14,5,1,1,2,5,0.1999999999999999,mean,173.97631944998875
15,6,1,12,3,13,-0.1,mean,-433.7960429483783
16,4,2,6,3,13,0.0499999999999999,mean,-3.13344436455327
17,7,1,15,2,11,0.45,mean,404.55012464725746
18,1,1,11,2,3,0.75,mean,-65.67265610490153
19,11,1,11,3,4,0.6000000000000001,mean,229.18356807195823
20,10,1,2,2,7,0.8,mean,434.0843757954858
21,8,1,10,2,10,0.1999999999999999,mean,-31.618211930871666
22,12,2,6,3,14,0.0499999999999999,mean,116.15895085660145
23,12,3,4,1,1,-0.1999999999999999,mean,-364.49821897343236
24,2,2,7,3,7,2.775557561562892e-17,mean,180.34506896317657
25,2,1,3,2,6,0.4499999999999999,mean,586.2197663901366
26,4,3,7,2,11,-0.25,mean,-254.16047573176706
27,6,1,2,2,5,0.3,mean,132.01883455591906
28,1,3,7,2,11,-0.75,mean,144.90642871829823
29,5,3,14,1,6,-0.2,mean,-734.0465824623047
30,9,2,13,1,2,-0.95,mean,-37.132615845243436
31,12,3,12,2,2,-0.05,mean,195.86586938815208
32,4,2,3,3,6,0.0,mean,-33.28657625484584
33,2,3,1,1,1,-0.5,mean,-197.09609120622872
34,12,2,5,3,8,0.0999999999999999,mean,-108.66064859220023
35,11,3,2,1,9,-0.8500000000000001,mean,-893.5064323983443
36,9,3,2,2,13,0.4,mean,-184.08395226219545
37,10,1,14,3,2,0.9,mean,507.9134389567455
38,4,2,9,1,5,0.0499999999999999,mean,-311.98005331463537
39,7,3,11,1,11,-0.4,mean,-801.8243795778326
40,3,3,1,2,5,-0.75,mean,-364.4425350353881
41,10,2,14,1,10,-0.9,mean,-201.16107161932314
42,5,2,12,1,5,-0.5,mean,-393.7308593296675
