,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,54.18098216820431
1,8,3,11,1,15,-0.6,mean,-176.43606317196782
2,9,1,3,2,4,0.0499999999999999,mean,202.26225922639264
3,7,2,13,3,7,0.2499999999999999,mean,-63.9299798929178
4,2,1,8,2,7,0.3999999999999999,mean,-46.2461792088468
5,3,2,9,1,11,-0.8500000000000001,mean,-53.871506942724636
6,7,1,10,2,5,0.8,mean,243.78760050018423
7,5,2,4,3,14,-0.45,mean,174.21216576343977
8,1,3,15,1,8,-0.95,mean,-139.43756198618985
9,9,1,10,3,10,0.85,mean,337.53547737873873
10,11,3,11,2,12,0.75,mean,205.0048637875816
11,11,3,10,2,3,-0.85,mean,-70.35831314350571
12,3,2,9,1,7,-0.6000000000000001,mean,-180.56800119726677
13,8,2,5,3,10,-0.35,mean,27.016191406326243
14,5,1,1,2,5,0.1999999999999999,mean,198.19812592492326
15,6,1,12,3,13,-0.1,mean,-49.648579917217376
16,4,2,6,3,13,0.0499999999999999,mean,-121.47110538641664
17,7,1,15,2,11,0.45,mean,437.4364521432517
18,1,1,11,2,3,0.75,mean,123.85880232823024
19,11,1,11,3,4,0.6000000000000001,mean,316.90614171348284
20,10,1,2,2,7,0.8,mean,141.4793128731551
21,8,1,10,2,10,0.1999999999999999,mean,58.65340113605566
22,12,2,6,3,14,0.0499999999999999,mean,56.69438183904617
23,12,3,4,1,1,-0.1999999999999999,mean,-366.5114425820632
24,2,2,7,3,7,2.775557561562892e-17,mean,-157.76139292884068
25,2,1,3,2,6,0.4499999999999999,mean,287.40313660643574
26,4,3,7,2,11,-0.25,mean,18.479150469986052
27,6,1,2,2,5,0.3,mean,172.0641807614859
28,1,3,7,2,11,-0.75,mean,-33.986965859711745
29,5,3,14,1,6,-0.2,mean,-453.4982936994695
30,9,2,13,1,2,-0.95,mean,-304.025371733529
31,12,3,12,2,2,-0.05,mean,-74.65711165294442
32,4,2,3,3,6,0.0,mean,-30.746865283634634
33,2,3,1,1,1,-0.5,mean,105.90160008532348
34,12,2,5,3,8,0.0999999999999999,mean,66.78834832504617
35,11,3,2,1,9,-0.8500000000000001,mean,-340.3823398497159
36,9,3,2,2,13,0.4,mean,-94.20562811736318
37,10,1,14,3,2,0.9,mean,288.7262814951371
38,4,2,9,1,5,0.0499999999999999,mean,-225.40607423310712
39,7,3,11,1,11,-0.4,mean,-221.45602119052478
40,3,3,1,2,5,-0.75,mean,-52.66213915930325
41,10,2,14,1,10,-0.9,mean,-205.62904535850294
42,5,2,12,1,5,-0.5,mean,-547.4633583112129
43,5,3,3,1,14,-0.45,mean,-492.2499301293715
44,7,3,9,2,1,0.1,mean,38.26293811030223
45,3,3,4,2,15,-0.2499999999999999,mean,23.890635917349528
46,12,1,3,2,5,0.4,mean,139.96763448302613
47,10,3,4,2,11,0.3,mean,115.28101000172569
48,9,2,8,3,13,0.7,mean,-204.8434583835949
49,1,1,12,3,9,0.8,mean,95.34555131579509
50,7,2,13,3,14,0.0999999999999999,mean,127.2668255733156
51,9,3,1,2,14,0.25,mean,-43.28510548197346
52,10,2,1,3,15,-0.3,mean,53.24029168256561
53,7,2,5,1,10,-0.6000000000000001,mean,-243.78760050018423
54,2,2,11,3,13,0.35,mean,-143.5856285401212
55,4,1,1,2,9,0.1999999999999999,mean,282.92713385094953
56,8,1,3,2,15,0.55,mean,66.04089380842925
57,2,1,5,2,12,-0.45,mean,5.272363907010913
58,2,3,12,1,14,0.0999999999999999,mean,73.98980474438008
59,3,1,11,2,2,0.2499999999999999,mean,-51.75940231401
60,12,2,7,1,12,-2.775557561562892e-17,mean,-122.38911569048878
61,11,1,6,3,11,-0.75,mean,-23.206132879987535
62,8,3,2,2,5,0.15,mean,-69.48583995536251
63,10,1,12,3,1,0.7,mean,102.06303047633332
64,7,2,6,1,7,-0.6000000000000001,mean,-423.92170325806796
65,6,1,6,2,3,0.0499999999999999,mean,4.555954996022592
66,5,1,15,3,4,0.8500000000000001,mean,361.4392015175499
67,1,3,3,2,3,0.15,mean,54.690985042689135
68,12,2,13,3,4,-0.15,mean,226.24442787478597
69,6,1,7,2,13,0.05,mean,47.885103692213534
70,3,1,6,3,13,0.4,mean,-26.68636115538925
71,6,3,6,1,1,-0.8500000000000001,mean,-388.67082217938923
72,9,3,4,2,11,-0.15,mean,137.7998466055019
73,10,2,2,1,3,-0.5,mean,90.08476078873605
74,5,1,15,3,15,0.55,mean,92.06743398502385
