,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,1233.3929269792561
1,8,3,11,1,15,-0.6,mean,-1001.1332755533904
2,9,1,3,2,4,0.0499999999999999,mean,50.35153288867514
3,7,2,13,3,7,0.2499999999999999,mean,-66.1550380442086
4,2,1,8,2,7,0.3999999999999999,mean,705.5751991272282
5,3,2,9,1,11,-0.8500000000000001,mean,-1537.2746400953429
6,7,1,10,2,5,0.8,mean,1150.446892735843
7,5,2,4,3,14,-0.45,mean,1174.0242340741215
8,1,3,15,1,8,-0.95,mean,-1430.455476342434
9,9,1,10,3,10,0.85,mean,2589.0273697150587
10,11,3,11,2,12,0.75,mean,1436.8606749962446
11,11,3,10,2,3,-0.85,mean,-1210.7515737168915
12,3,2,9,1,7,-0.6000000000000001,mean,-1685.9967012842844
13,8,2,5,3,10,-0.35,mean,-33.57176484056981
14,5,1,1,2,5,0.1999999999999999,mean,356.0857200574919
15,6,1,12,3,13,-0.1,mean,-84.57394400020166
16,4,2,6,3,13,0.0499999999999999,mean,-580.7042207569821
17,7,1,15,2,11,0.45,mean,1657.2589218830426
18,1,1,11,2,3,0.75,mean,1239.6464856544517
19,11,1,11,3,4,0.6000000000000001,mean,1005.2082512608768
20,10,1,2,2,7,0.8,mean,1329.213495864774
21,8,1,10,2,10,0.1999999999999999,mean,354.6635525794409
22,12,2,6,3,14,0.0499999999999999,mean,439.1799002476
23,12,3,4,1,1,-0.1999999999999999,mean,-1190.2453893631946
24,2,2,7,3,7,2.775557561562892e-17,mean,-20.65941890916656
25,2,1,3,2,6,0.4499999999999999,mean,1395.3662956912312
26,4,3,7,2,11,-0.25,mean,-422.02598152510836
27,6,1,2,2,5,0.3,mean,281.7015231410969
28,1,3,7,2,11,-0.75,mean,-84.53963574320733
29,5,3,14,1,6,-0.2,mean,-2243.355003379097
30,9,2,13,1,2,-0.95,mean,-1513.1746398024507
31,12,3,12,2,2,-0.05,mean,-295.3393077217879
32,4,2,3,3,6,0.0,mean,-487.6840134205695
33,2,3,1,1,1,-0.5,mean,-855.6731562264613
34,12,2,5,3,8,0.0999999999999999,mean,225.60876069926599
35,11,3,2,1,9,-0.8500000000000001,mean,-1587.6086825247394
36,9,3,2,2,13,0.4,mean,-99.25857143162102
37,10,1,14,3,2,0.9,mean,2493.8720890341565
38,4,2,9,1,5,0.0499999999999999,mean,-502.8327634986663
39,7,3,11,1,11,-0.4,mean,-1948.9075421734397
40,3,3,1,2,5,-0.75,mean,-1407.6633668537688
41,10,2,14,1,10,-0.9,mean,-962.0808399125981
42,5,2,12,1,5,-0.5,mean,-1527.3991279120182
43,5,3,3,1,14,-0.45,mean,-2852.0499369916624
44,7,3,9,2,1,0.1,mean,56.783006792148626
45,3,3,4,2,15,-0.2499999999999999,mean,-401.82681144263825
46,12,1,3,2,5,0.4,mean,663.5688502601442
47,10,3,4,2,11,0.3,mean,320.60682309312506
48,9,2,8,3,13,0.7,mean,-758.5625869050691
49,1,1,12,3,9,0.8,mean,1341.2344527685927
50,7,2,13,3,14,0.0999999999999999,mean,167.01742982605174
51,9,3,1,2,14,0.25,mean,-539.4914277552334
52,10,2,1,3,15,-0.3,mean,235.75299194976287
53,7,2,5,1,10,-0.6000000000000001,mean,-1150.446892735843
54,2,2,11,3,13,0.35,mean,157.79374388316592
55,4,1,1,2,9,0.1999999999999999,mean,1156.474606161256
56,8,1,3,2,15,0.55,mean,1047.6680766804511
57,2,1,5,2,12,-0.45,mean,42.55645465648195
58,2,3,12,1,14,0.0999999999999999,mean,-1015.5452241126868
59,3,1,11,2,2,0.2499999999999999,mean,1026.820587637183
60,12,2,7,1,12,-2.775557561562892e-17,mean,-579.1278300037493
61,11,1,6,3,11,-0.75,mean,-817.4499344046826
62,8,3,2,2,5,0.15,mean,-226.84617046769472
63,10,1,12,3,1,0.7,mean,1415.3453463877195
64,7,2,6,1,7,-0.6000000000000001,mean,-1141.432165990207
65,6,1,6,2,3,0.0499999999999999,mean,-315.25498215524294
66,5,1,15,3,4,0.8500000000000001,mean,1771.0192905921276
67,1,3,3,2,3,0.15,mean,411.86206963828045
68,12,2,13,3,4,-0.15,mean,462.11496037745746
69,6,1,7,2,13,0.05,mean,256.688660927608
70,3,1,6,3,13,0.4,mean,763.9702676374372
