,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,1659.3740270220696
1,8,3,11,1,15,-0.6,mean,-934.815631408841
2,9,1,3,2,4,0.0499999999999999,mean,-188.16025109764269
3,7,2,13,3,7,0.2499999999999999,mean,-96.26536244139606
4,2,1,8,2,7,0.3999999999999999,mean,575.0831433135618
5,3,2,9,1,11,-0.8500000000000001,mean,-1585.295312716311
6,7,1,10,2,5,0.8,mean,1195.891416282786
7,5,2,4,3,14,-0.45,mean,1090.31563793632
8,1,3,15,1,8,-0.95,mean,-1200.6843675410364
9,9,1,10,3,10,0.85,mean,2821.7252373267975
10,11,3,11,2,12,0.75,mean,1209.4282299228253
11,11,3,10,2,3,-0.85,mean,-1233.6011452234852
12,3,2,9,1,7,-0.6000000000000001,mean,-1826.5119862043912
13,8,2,5,3,10,-0.35,mean,57.07164311161523
14,5,1,1,2,5,0.1999999999999999,mean,538.2393987882169
15,6,1,12,3,13,-0.1,mean,33.77670221232984
16,4,2,6,3,13,0.0499999999999999,mean,-664.1866459293233
17,7,1,15,2,11,0.45,mean,1704.333193405062
18,1,1,11,2,3,0.75,mean,1357.7447295252687
19,11,1,11,3,4,0.6000000000000001,mean,725.9000123477417
20,10,1,2,2,7,0.8,mean,1097.917395223335
21,8,1,10,2,10,0.1999999999999999,mean,446.3545138707732
22,12,2,6,3,14,0.0499999999999999,mean,165.84606992339013
23,12,3,4,1,1,-0.1999999999999999,mean,-824.0564253445582
24,2,2,7,3,7,2.775557561562892e-17,mean,72.94634293001036
25,2,1,3,2,6,0.4499999999999999,mean,1344.7385623492373
26,4,3,7,2,11,-0.25,mean,-392.84697082476305
27,6,1,2,2,5,0.3,mean,58.76698428057898
28,1,3,7,2,11,-0.75,mean,137.5056671893799
29,5,3,14,1,6,-0.2,mean,-2196.370029100327
30,9,2,13,1,2,-0.95,mean,-1274.3826234413646
31,12,3,12,2,2,-0.05,mean,-248.76588207611258
32,4,2,3,3,6,0.0,mean,-646.1529012322881
33,2,3,1,1,1,-0.5,mean,-811.4617959450197
34,12,2,5,3,8,0.0999999999999999,mean,394.3436490756676
35,11,3,2,1,9,-0.8500000000000001,mean,-1194.1254333141942
36,9,3,2,2,13,0.4,mean,-246.85727584346932
37,10,1,14,3,2,0.9,mean,2485.708246598585
38,4,2,9,1,5,0.0499999999999999,mean,-644.4436066662674
39,7,3,11,1,11,-0.4,mean,-1784.470594384642
40,3,3,1,2,5,-0.75,mean,-1592.0336640477926
41,10,2,14,1,10,-0.9,mean,-1000.9241419489699
42,5,2,12,1,5,-0.5,mean,-1590.519047348971
43,5,3,3,1,14,-0.45,mean,-2920.790411427338
44,7,3,9,2,1,0.1,mean,179.33894208244783
45,3,3,4,2,15,-0.2499999999999999,mean,-162.1376566169747
46,12,1,3,2,5,0.4,mean,231.45040592708665
47,10,3,4,2,11,0.3,mean,776.2235380318334
48,9,2,8,3,13,0.7,mean,-807.3436803564473
49,1,1,12,3,9,0.8,mean,1353.951215511437
50,7,2,13,3,14,0.0999999999999999,mean,425.47395776964004
51,9,3,1,2,14,0.25,mean,-547.9739945323827
52,10,2,1,3,15,-0.3,mean,256.3544391249834
53,7,2,5,1,10,-0.6000000000000001,mean,-1195.891416282786
54,2,2,11,3,13,0.35,mean,341.1740701923527
55,4,1,1,2,9,0.1999999999999999,mean,1421.5654325581063
56,8,1,3,2,15,0.55,mean,998.0676464204935
57,2,1,5,2,12,-0.45,mean,69.84586006388145
58,2,3,12,1,14,0.0999999999999999,mean,-1202.4427297441925
59,3,1,11,2,2,0.2499999999999999,mean,753.7903141017496
60,12,2,7,1,12,-2.775557561562892e-17,mean,-442.743273647724
61,11,1,6,3,11,-0.75,mean,-1031.5465719650992
62,8,3,2,2,5,0.15,mean,-295.94674671133725
63,10,1,12,3,1,0.7,mean,1928.647673431924
64,7,2,6,1,7,-0.6000000000000001,mean,-1529.834180123692
65,6,1,6,2,3,0.0499999999999999,mean,-243.15144764093384
66,5,1,15,3,4,0.8500000000000001,mean,1800.4757599813984
67,1,3,3,2,3,0.15,mean,951.7526955730409
68,12,2,13,3,4,-0.15,mean,507.44068088454696
69,6,1,7,2,13,0.05,mean,321.13502051890646
70,3,1,6,3,13,0.4,mean,523.3377436113587
71,6,3,6,1,1,-0.8500000000000001,mean,-1153.2537301613957
72,9,3,4,2,11,-0.15,mean,96.40880812382238
73,10,2,2,1,3,-0.5,mean,208.16133266021643
74,5,1,15,3,15,0.55,mean,933.1888929445895
75,4,3,8,1,8,0.15,mean,-1308.7035849562108
76,7,1,11,3,10,0.0999999999999999,mean,1263.922240627714
77,11,1,8,3,14,0.3999999999999999,mean,697.0203436684342
78,8,1,15,2,11,0.2999999999999999,mean,689.2487980709484
79,8,3,6,1,8,-0.4499999999999999,mean,-997.4562903024598
80,11,3,13,2,1,-0.75,mean,-2885.5241267172814
81,4,1,3,2,3,0.0499999999999999,mean,2111.260820468522
82,3,2,15,3,10,0.0499999999999999,mean,-203.7748358711924
83,5,2,4,1,14,-0.75,mean,-2104.4112064803685
84,2,3,10,1,14,0.0499999999999999,mean,-684.769028656463
85,11,2,14,1,11,0.1,mean,707.3622258058413
86,6,1,12,2,2,-0.1,mean,-86.27820062062801
87,1,3,11,2,14,-0.9,mean,-778.78949947622
88,1,2,11,1,12,-0.25,mean,-1517.058925872644
89,5,1,4,3,8,0.4,mean,2267.4515109784797
90,9,3,1,2,7,-1.0,ind,-452.97338800561374
91,11,1,11,2,10,-1.0,ind,-130.35468641415991
92,6,1,8,3,5,0.6000000000000001,ind,1688.9387913452301
93,9,2,3,1,15,-0.6,ind,408.45239474955815
94,3,3,8,1,2,-0.6,ind,-2250.7311164952043
95,8,1,13,3,2,1.0,ind,577.1283705458354
96,6,3,5,1,8,-0.6,ind,-1688.9387913452301
