,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,1962.779355069908
1,8,3,11,1,15,-0.6,mean,-1358.551240328081
2,9,1,3,2,4,0.0499999999999999,mean,133.00157598174337
3,7,2,13,3,7,0.2499999999999999,mean,-191.83278668036473
4,2,1,8,2,7,0.3999999999999999,mean,510.62788455424015
5,3,2,9,1,11,-0.8500000000000001,mean,-1879.0720956329242
6,7,1,10,2,5,0.8,mean,1860.9691758519566
7,5,2,4,3,14,-0.45,mean,1347.38587373486
8,1,3,15,1,8,-0.95,mean,-1441.4473242972817
9,9,1,10,3,10,0.85,mean,3919.3255891056488
10,11,3,11,2,12,0.75,mean,1590.0851657908297
11,11,3,10,2,3,-0.85,mean,-1803.2001275519451
12,3,2,9,1,7,-0.6000000000000001,mean,-2380.347834778104
13,8,2,5,3,10,-0.35,mean,14.105517289423005
14,5,1,1,2,5,0.1999999999999999,mean,847.7955001630362
15,6,1,12,3,13,-0.1,mean,146.79226452745024
16,4,2,6,3,13,0.0499999999999999,mean,-958.6258502231503
17,7,1,15,2,11,0.45,mean,2470.173146059031
18,1,1,11,2,3,0.75,mean,2154.7107472730313
19,11,1,11,3,4,0.6000000000000001,mean,1392.7803511162638
20,10,1,2,2,7,0.8,mean,1269.3559493698103
21,8,1,10,2,10,0.1999999999999999,mean,18.4659466066405
22,12,2,6,3,14,0.0499999999999999,mean,198.27115142035836
23,12,3,4,1,1,-0.1999999999999999,mean,-1614.475551857864
24,2,2,7,3,7,2.775557561562892e-17,mean,-191.35671361212917
25,2,1,3,2,6,0.4499999999999999,mean,2301.1102782850667
26,4,3,7,2,11,-0.25,mean,-393.16718705123094
27,6,1,2,2,5,0.3,mean,529.174076412337
28,1,3,7,2,11,-0.75,mean,305.6596861921771
29,5,3,14,1,6,-0.2,mean,-2892.601842438702
30,9,2,13,1,2,-0.95,mean,-1865.1196903307027
31,12,3,12,2,2,-0.05,mean,-181.04857976472522
32,4,2,3,3,6,0.0,mean,-872.7094631194213
33,2,3,1,1,1,-0.5,mean,-737.211041984976
34,12,2,5,3,8,0.0999999999999999,mean,432.161134942482
35,11,3,2,1,9,-0.8500000000000001,mean,-2415.243112730481
36,9,3,2,2,13,0.4,mean,-321.14469242545965
37,10,1,14,3,2,0.9,mean,3466.855749815699
38,4,2,9,1,5,0.0499999999999999,mean,-1169.7639400838598
39,7,3,11,1,11,-0.4,mean,-2731.962264996413
40,3,3,1,2,5,-0.75,mean,-1892.33161130981
41,10,2,14,1,10,-0.9,mean,-2015.392147839315
42,5,2,12,1,5,-0.5,mean,-2780.9689878121226
43,5,3,3,1,14,-0.45,mean,-4260.114071737429
