,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,265.0826770364499
1,8,3,11,1,15,-0.6,mean,-444.94103721104034
2,9,1,3,2,4,0.0499999999999999,mean,-54.4068364185041
3,7,2,13,3,7,0.2499999999999999,mean,-20.897856104727225
4,2,1,8,2,7,0.3999999999999999,mean,372.45059979480766
5,3,2,9,1,11,-0.8500000000000001,mean,-371.0698656898255
6,7,1,10,2,5,0.8,mean,380.33175940064234
7,5,2,4,3,14,-0.45,mean,467.9743253437971
8,1,3,15,1,8,-0.95,mean,0.19875016876471818
9,9,1,10,3,10,0.85,mean,518.1486618095735
10,11,3,11,2,12,0.75,mean,636.5302156577582
11,11,3,10,2,3,-0.85,mean,371.60776530709995
12,3,2,9,1,7,-0.6000000000000001,mean,-556.2382939872548
13,8,2,5,3,10,-0.35,mean,39.70023121310169
14,5,1,1,2,5,0.1999999999999999,mean,143.89065584845684
15,6,1,12,3,13,-0.1,mean,-419.57802389222434
16,4,2,6,3,13,0.0499999999999999,mean,-21.421159828961436
17,7,1,15,2,11,0.45,mean,432.4407215401409
18,1,1,11,2,3,0.75,mean,-16.1724893343212
19,11,1,11,3,4,0.6000000000000001,mean,212.18314334519164
20,10,1,2,2,7,0.8,mean,437.39348305706494
21,8,1,10,2,10,0.1999999999999999,mean,-0.3352807395222044
22,12,2,6,3,14,0.0499999999999999,mean,71.26936390905962
23,12,3,4,1,1,-0.1999999999999999,mean,-274.0263773470533
24,2,2,7,3,7,2.775557561562892e-17,mean,238.02797685599853
25,2,1,3,2,6,0.4499999999999999,mean,543.7014360999717
26,4,3,7,2,11,-0.25,mean,-261.4905619263866
27,6,1,2,2,5,0.3,mean,103.77251284331464
28,1,3,7,2,11,-0.75,mean,201.99542207302352
29,5,3,14,1,6,-0.2,mean,-694.4021867510448
30,9,2,13,1,2,-0.95,mean,13.166435223964982
31,12,3,12,2,2,-0.05,mean,233.8034567795105
32,4,2,3,3,6,0.0,mean,-59.507869466122656
33,2,3,1,1,1,-0.5,mean,-151.15104053682512
34,12,2,5,3,8,0.0999999999999999,mean,-122.73430811042135
35,11,3,2,1,9,-0.8500000000000001,mean,-771.5437881576431
36,9,3,2,2,13,0.4,mean,-222.75867673988205
37,10,1,14,3,2,0.9,mean,537.7205736800395
38,4,2,9,1,5,0.0499999999999999,mean,-428.7276612463056
39,7,3,11,1,11,-0.4,mean,-696.3626413211093
40,3,3,1,2,5,-0.75,mean,-350.74161632458754
41,10,2,14,1,10,-0.9,mean,-156.49493798287608
42,5,2,12,1,5,-0.5,mean,-348.60219097747813
43,5,3,3,1,14,-0.45,mean,-955.2058007649207
44,7,3,9,2,1,0.1,mean,32.60427015373671
45,3,3,4,2,15,-0.2499999999999999,mean,165.9264360831953
46,12,1,3,2,5,0.4,mean,50.41486895540038
47,10,3,4,2,11,0.3,mean,-106.67534362893002
48,9,2,8,3,13,0.7,mean,-127.5204824492962
49,1,1,12,3,9,0.8,mean,162.96331709449532
50,7,2,13,3,14,0.0999999999999999,mean,275.5809640636269
51,9,3,1,2,14,0.25,mean,-447.02161239186603
52,10,2,1,3,15,-0.3,mean,319.3906693933329
53,7,2,5,1,10,-0.6000000000000001,mean,-380.33175940064234
54,2,2,11,3,13,0.35,mean,142.95389365157098
55,4,1,1,2,9,0.1999999999999999,mean,71.04223711241389
56,8,1,3,2,15,0.55,mean,286.0928793131975
57,2,1,5,2,12,-0.45,mean,-3.017127594187059
58,2,3,12,1,14,0.0999999999999999,mean,-589.304700480131
59,3,1,11,2,2,0.2499999999999999,mean,229.8433202313954
60,12,2,7,1,12,-2.775557561562892e-17,mean,-139.3917156405646
61,11,1,6,3,11,-0.75,mean,-558.799442863195
62,8,3,2,2,5,0.15,mean,-91.70318765157117
63,10,1,12,3,1,0.7,mean,257.4102605531057
64,7,2,6,1,7,-0.6000000000000001,mean,-422.9779758362722
65,6,1,6,2,3,0.0499999999999999,mean,2.37328386499712
66,5,1,15,3,4,0.8500000000000001,mean,292.27286578585813
67,1,3,3,2,3,0.15,mean,69.51040962399702
68,12,2,13,3,4,-0.15,mean,240.12168217262365
69,6,1,7,2,13,0.05,mean,-127.7750186397434
70,3,1,6,3,13,0.4,mean,271.4501462449225
71,6,3,6,1,1,-0.8500000000000001,mean,-86.01468302080593
72,9,3,4,2,11,-0.15,mean,-243.9385020296022
73,10,2,2,1,3,-0.5,mean,530.2588638608211
74,5,1,15,3,15,0.55,mean,-35.22115946974759
75,4,3,8,1,8,0.15,mean,-722.9783677060964
76,7,1,11,3,10,0.0999999999999999,mean,461.42607867549873
77,11,1,8,3,14,0.3999999999999999,mean,-188.80546298242552
78,8,1,15,2,11,0.2999999999999999,mean,347.1201756608459
79,8,3,6,1,8,-0.4499999999999999,mean,-124.53645829002016
80,11,3,13,2,1,-0.75,mean,-877.4283044660438
81,4,1,3,2,3,0.0499999999999999,mean,603.8801052888562
82,3,2,15,3,10,0.0499999999999999,mean,-190.46715003809345
83,5,2,4,1,14,-0.75,mean,-617.7352936268642
84,2,3,10,1,14,0.0499999999999999,mean,-501.67645614460343
85,11,2,14,1,11,0.1,mean,605.3686917418054
86,6,1,12,2,2,-0.1,mean,-203.73036953854398
87,1,3,11,2,14,-0.9,mean,-1.0631961873639284
88,1,2,11,1,12,-0.25,mean,-370.633882639421
89,5,1,4,3,8,0.4,mean,645.4310424332275
90,9,3,1,2,7,-1.0,ind,123.13443983571347
91,11,1,11,2,10,-1.0,ind,181.75226951706395
92,6,1,8,3,5,0.6000000000000001,ind,279.22336770388597
93,9,2,3,1,15,-0.6,ind,220.60330097777205
94,3,3,8,1,2,-0.6,ind,-1015.8652238094342
95,8,1,13,3,2,1.0,ind,191.44057787629936
96,6,3,5,1,8,-0.6,ind,-279.22336770388597
97,4,2,10,3,9,0.8,ind,-301.8052092398516
98,4,3,8,2,15,0.3999999999999999,ind,163.07089546769157
99,1,3,15,1,8,-1.0,ind,0.19875016876471818
100,6,3,5,2,11,0.3999999999999999,ind,-314.44265876407985
101,10,1,14,3,4,1.0,ind,277.15632484822254
102,9,2,3,3,2,0.8,ind,258.9414233618636
103,5,3,5,2,8,-1.0,ind,-666.9037238844685
104,3,3,12,2,1,0.0,ind,54.66206784256383
105,5,2,12,1,5,-1.0,ind,-348.60219097747813
106,2,1,13,2,7,0.1999999999999999,ind,415.2945612278513
107,2,1,8,2,10,0.0,ind,247.14312326162894
108,3,1,10,3,6,1.0,ind,203.17771117784127
109,1,2,10,3,2,1.0,ind,3.9542209214507693
110,8,1,15,2,4,0.8,ind,259.035414555814
111,7,2,14,1,14,-0.6,ind,81.50200056801395
112,6,2,2,3,13,-0.4,ind,-215.84765435368035
113,10,3,2,1,6,-0.6,ind,-551.623371908632
114,1,2,14,3,14,0.6000000000000001,ind,-63.57886240722314
115,11,2,5,3,13,1.0,ind,-321.3891062800369
116,7,1,1,3,12,0.3999999999999999,ind,-294.15687923593987
117,10,2,3,1,5,-0.1999999999999999,ind,511.06419230053643
118,10,1,8,3,5,0.6000000000000001,ind,239.90308632896972
119,8,2,15,1,12,-0.8,ind,53.029251658100975
120,12,3,5,2,15,-0.4,ind,-166.4461784002101
121,4,2,3,1,9,-0.4,ind,-566.2192411500778
122,5,3,11,1,15,-1.0,ind,-269.6891379818958
123,4,3,2,2,5,-0.6,ind,78.6335026786162
124,1,2,4,3,14,1.0,ind,124.4735166272933
125,7,2,10,3,3,0.0,ind,439.70158109157
126,2,3,2,2,3,0.6000000000000001,ind,113.41144984988091
127,12,2,7,3,5,0.3999999999999999,ind,220.30284835492307
128,12,3,8,1,4,-1.0,ind,16.6230451957108
129,5,2,12,1,7,-1.0,ind,-325.0270961756894
130,12,3,2,2,10,-0.6,ind,-89.98820024209431
131,9,3,8,2,8,-0.6,ind,424.79392450971704
132,11,2,14,3,14,0.8,ind,199.80478907217866
133,7,3,12,1,7,-1.0,ind,-45.25546543404971
134,3,2,4,1,2,-0.1999999999999999,ind,-774.430877608858
135,3,1,11,2,3,1.0,ind,-227.6639598015588
136,3,1,15,3,1,0.3999999999999999,ind,282.19416421292044
137,8,1,5,2,9,0.6000000000000001,ind,258.7701317104588
138,7,3,1,2,14,0.3999999999999999,ind,-319.2699035753544
139,12,1,10,2,1,-0.1999999999999999,ind,-479.17698544046834
140,1,2,4,1,11,0.3999999999999999,ind,209.28539093531094
141,4,2,4,1,4,-0.4,ind,-604.0340488118234
142,10,1,8,2,13,0.6000000000000001,ind,169.42023817421068
143,2,3,11,1,3,0.1999999999999999,ind,-678.948078548369
144,11,2,10,3,14,0.6000000000000001,ind,-587.3161721866907
145,8,2,9,1,1,-0.6,ind,-475.4883453504269
146,3,1,4,3,3,0.6000000000000001,ind,353.4816898796116
147,6,2,5,1,12,0.0,ind,107.42251229345948
148,6,3,9,1,6,-0.4,ind,290.4287703529867
149,12,2,6,3,12,0.3999999999999999,ind,-248.95475485489987
150,6,1,4,3,3,0.3999999999999999,ind,151.8829797344838
151,1,2,2,3,11,0.3999999999999999,ind,-137.12679588855394
152,9,3,6,2,1,0.3999999999999999,ind,-426.699910289243
153,5,3,8,2,1,-0.6,ind,-545.21343580339
154,7,1,11,2,6,0.6000000000000001,ind,965.3571868803797
155,7,2,1,1,11,0.3999999999999999,ind,-700.73240692783
156,2,2,12,3,11,-0.6,ind,458.3037257917754
157,4,2,3,1,4,-0.1999999999999999,ind,-624.0383578016956
158,1,2,10,1,3,-0.4,ind,-269.93731538367183
159,8,1,13,3,8,0.6000000000000001,ind,116.54228046700496
160,7,1,5,2,2,0.6000000000000001,ind,528.4006622092124
161,4,3,8,2,6,0.3999999999999999,ind,138.85187868400158
162,5,2,7,3,3,0.3999999999999999,ind,647.6470564639508
163,9,3,13,2,3,-0.1999999999999999,ind,-359.493894249699
164,10,3,4,2,9,0.1999999999999999,ind,177.91459290352827
165,11,1,12,3,11,-0.1999999999999999,ind,-662.5049875758266
166,1,2,2,3,7,0.6000000000000001,ind,-143.14811918603436
167,10,3,5,1,11,-0.4,ind,-463.416400409634
168,11,2,1,1,15,0.6000000000000001,ind,1188.2749274543899
169,10,3,1,2,12,0.3999999999999999,ind,-36.89853564729765
170,2,3,6,1,14,0.3999999999999999,ind,-549.0025367145706
171,4,2,6,3,14,-0.4,ind,-223.3388547225395
172,5,1,1,2,4,0.3999999999999999,ind,488.80464346620624
173,6,3,6,2,3,0.1999999999999999,ind,198.298815920607
174,12,3,2,1,2,-0.6,ind,-249.14838724200195
175,9,3,3,1,5,-0.4,ind,-732.6408369624867
176,2,3,7,2,11,-0.4,ind,-518.5776056498612
177,3,1,11,3,4,0.1999999999999999,ind,211.22072231532843
178,5,3,14,2,12,0.3999999999999999,ind,-217.08496648016694
179,8,3,11,1,3,-0.6,ind,-479.92816889461915
180,4,3,8,2,3,-0.1999999999999999,ind,249.36602856984746
181,2,1,1,2,12,-0.6,ind,-138.20268612047334
182,6,2,5,1,15,-0.1999999999999999,ind,8.28361738499757
183,8,1,5,2,10,0.0,ind,120.91902814353057
184,4,1,2,2,14,0.0,ind,127.73163666801247
185,7,1,11,3,10,0.1999999999999999,ind,461.42607867549873
186,11,2,10,3,15,1.0,ind,-297.7913957666178
187,10,2,14,1,13,-0.4,ind,-512.1978870767382
188,7,1,9,2,5,0.3999999999999999,ind,659.0904136599638
189,3,3,15,2,14,0.0,ind,-7.041580500543432
190,1,3,7,2,10,-1.0,ind,-72.92080723232766
191,6,2,4,1,1,0.0,ind,-304.228278171237
192,12,1,6,2,6,0.0,ind,134.08150198871044
193,3,2,3,3,15,0.1999999999999999,ind,438.11203562512515
194,7,3,12,1,8,-1.0,ind,-65.9794369938752
195,3,2,9,3,8,0.0,ind,-144.3339855794552
196,6,1,4,3,5,0.1999999999999999,ind,416.92727073850233
197,12,2,7,1,10,0.0,ind,-33.70332756877997
198,10,3,12,1,10,-0.1999999999999999,ind,156.2758821125451
199,8,3,2,2,7,-0.1999999999999999,ind,191.6893326118709
200,10,3,2,2,5,-0.1999999999999999,ind,-313.4080573685394
201,2,2,3,3,10,0.0,ind,270.45291802544375
202,9,3,8,1,1,-0.1999999999999999,ind,54.1341193290109
203,4,3,13,1,2,-0.1999999999999999,ind,-361.8211404891815
204,12,2,12,3,4,0.0,ind,297.7881235948703
205,5,2,12,3,5,0.0,ind,93.02002952209864
206,8,1,3,2,3,0.0,ind,479.1530093358424
207,11,1,12,2,7,-0.1999999999999999,ind,149.6212686088977
208,5,2,10,1,4,0.0,ind,-514.427534530229
209,9,3,6,1,13,-0.1999999999999999,ind,-9.949204917376164
210,9,1,6,3,14,1.0,ind,163.42035992560886
211,9,1,11,3,4,1.0,ind,288.019149411386
212,3,2,6,1,11,0.0,ind,93.32227125974691
213,5,3,4,1,10,-1.0,ind,-546.0879192935281
214,2,2,13,3,4,1.0,ind,291.4597744733926
215,2,1,13,3,6,0.0,ind,611.6268689840877
216,7,1,14,2,2,1.0,ind,232.86593394564102
217,11,1,7,2,3,0.0,ind,308.37224117551887
218,1,3,11,1,12,-0.1999999999999999,ind,-174.65978386387792
219,1,1,9,3,10,1.0,ind,197.33975290389412
220,6,2,8,1,15,0.0,ind,-115.46607124015964
221,1,2,8,3,12,0.0,ind,-318.23462533511406
222,4,1,3,3,8,0.1999999999999999,ind,354.5140767190087
223,5,1,4,2,1,-0.1999999999999999,ind,100.21760662983752
224,8,1,14,3,13,0.6000000000000001,ind,72.51647547510152
225,11,3,4,2,15,0.0,ind,-295.1706879239248
226,6,1,1,3,9,1.0,ind,-8.488555276570878
227,4,3,12,2,9,0.0,ind,-185.13679632975595
228,2,3,10,1,5,0.1999999999999999,ind,-474.05422645909084
229,8,3,4,1,10,-1.0,ind,130.2371999425984
230,8,3,4,2,15,0.1999999999999999,ind,213.99330764969864
231,12,2,15,3,11,-0.6,ind,-506.81221966753446
232,6,1,6,3,9,0.0,ind,-290.4287703529867
233,6,1,8,2,6,0.1999999999999999,ind,76.29226536332226
234,12,3,13,1,10,0.0,ind,-90.97454351850661
235,1,2,8,3,15,0.8,ind,-205.5128652372441
236,11,1,13,3,11,-0.8,ind,-776.4960596695887
237,4,2,14,3,11,-0.1999999999999999,ind,194.09914048984865
238,10,3,4,2,5,0.1999999999999999,ind,-52.84380853672246
239,3,1,12,3,15,0.3999999999999999,ind,446.8206291104391
240,10,3,2,1,5,-0.8,ind,-162.86109001895124
241,5,1,5,2,1,0.0,ind,-187.26500232730746
242,2,2,10,1,2,0.1999999999999999,ind,-44.33674666213096
243,3,1,6,3,15,0.3999999999999999,ind,232.69659424782935
244,12,2,2,1,12,-0.1999999999999999,ind,-36.39104094068989
245,5,3,1,1,5,-0.8,ind,380.2786687250539
246,7,1,7,2,14,0.1999999999999999,ind,0.8732206331799262
247,9,3,3,2,2,-0.8,ind,-515.3273134522944
248,8,2,9,3,2,0.3999999999999999,ind,0.8729325886831703
249,10,1,1,2,11,0.8,ind,-212.31745450489302
250,7,1,9,3,12,0.1999999999999999,ind,347.99431839596673
251,4,1,3,2,13,-0.6,ind,470.8195317274526
252,1,2,11,3,12,0.0,ind,-442.2977692829984
253,11,1,12,2,1,-0.6,ind,-1000.5793649721538
254,9,2,7,3,13,-0.1999999999999999,ind,-35.522920743390614
255,9,2,13,3,13,-0.8,ind,323.31114762771745
256,7,2,2,3,7,0.0,ind,-340.8984836866905
257,12,1,11,3,10,0.3999999999999999,ind,-78.0475438075398
258,8,3,5,2,11,-0.6,ind,50.408093194881985
259,2,3,10,1,2,0.0,ind,-318.6504503815788
260,9,1,7,2,9,0.1999999999999999,ind,158.54397184254162
261,2,3,12,2,7,0.1999999999999999,ind,-236.63447152179674
262,1,3,12,1,10,0.0,ind,-189.12096917154713
263,3,3,15,2,9,-0.1999999999999999,ind,160.62178986625918
264,7,2,13,1,9,-0.6,ind,-297.97938052678865
265,4,1,9,2,4,-0.1999999999999999,ind,546.2149321602055
266,6,3,6,1,6,-0.1999999999999999,ind,195.9255320556099
267,10,2,5,3,5,0.0,ind,42.748062380935835
268,5,2,9,3,1,0.6000000000000001,ind,-586.813892840144
269,3,1,13,3,1,1.0,ind,448.96847889385435
