,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,68.08585526480306
1,8,3,11,1,15,-0.6,mean,-161.4018431743507
2,9,1,3,2,4,0.0499999999999999,mean,192.78994647172067
3,7,2,13,3,7,0.2499999999999999,mean,-93.36879034244521
4,2,1,8,2,7,0.3999999999999999,mean,-68.52055379507146
5,3,2,9,1,11,-0.8500000000000001,mean,-44.09227079779862
6,7,1,10,2,5,0.8,mean,248.04651682830035
7,5,2,4,3,14,-0.45,mean,171.59228522119224
8,1,3,15,1,8,-0.95,mean,-154.3761712865637
9,9,1,10,3,10,0.85,mean,358.47742789994754
10,11,3,11,2,12,0.75,mean,154.66365930099937
11,11,3,10,2,3,-0.85,mean,-82.14534168846103
12,3,2,9,1,7,-0.6000000000000001,mean,-160.77747524228903
13,8,2,5,3,10,-0.35,mean,43.00876105894827
14,5,1,1,2,5,0.1999999999999999,mean,192.25856857478584
15,6,1,12,3,13,-0.1,mean,-43.16446020890362
16,4,2,6,3,13,0.0499999999999999,mean,-158.31039563064678
17,7,1,15,2,11,0.45,mean,435.82649067170246
18,1,1,11,2,3,0.75,mean,117.55527611485695
19,11,1,11,3,4,0.6000000000000001,mean,304.2935362395019
20,10,1,2,2,7,0.8,mean,123.22590901217632
21,8,1,10,2,10,0.1999999999999999,mean,70.01872109217038
22,12,2,6,3,14,0.0499999999999999,mean,13.2949462230888
23,12,3,4,1,1,-0.1999999999999999,mean,-364.4364594370652
24,2,2,7,3,7,2.775557561562892e-17,mean,-147.56416198219517
25,2,1,3,2,6,0.4499999999999999,mean,285.6031804836864
26,4,3,7,2,11,-0.25,mean,14.249429095314099
27,6,1,2,2,5,0.3,mean,171.16966008220334
28,1,3,7,2,11,-0.75,mean,-31.678733343885597
29,5,3,14,1,6,-0.2,mean,-464.8434814343341
30,9,2,13,1,2,-0.95,mean,-317.9165129058515
31,12,3,12,2,2,-0.05,mean,-68.09559336633242
32,4,2,3,3,6,0.0,mean,-46.764691951216264
33,2,3,1,1,1,-0.5,mean,118.42503358220438
34,12,2,5,3,8,0.0999999999999999,mean,80.5005807534219
35,11,3,2,1,9,-0.8500000000000001,mean,-309.6713586277897
36,9,3,2,2,13,0.4,mean,-83.35393054939595
37,10,1,14,3,2,0.9,mean,266.9779151130531
38,4,2,9,1,5,0.0499999999999999,mean,-248.11535863516474
39,7,3,11,1,11,-0.4,mean,-222.61430103305656
40,3,3,1,2,5,-0.75,mean,-52.347806266465795
41,10,2,14,1,10,-0.9,mean,-219.1196632257877
42,5,2,12,1,5,-0.5,mean,-541.6116234912624
43,5,3,3,1,14,-0.45,mean,-487.6334613069339
44,7,3,9,2,1,0.1,mean,32.460653639469
45,3,3,4,2,15,-0.2499999999999999,mean,95.79120225965517
46,12,1,3,2,5,0.4,mean,134.58823428468645
47,10,3,4,2,11,0.3,mean,77.05075942135863
48,9,2,8,3,13,0.7,mean,-200.3482982402909
49,1,1,12,3,9,0.8,mean,100.74258184247014
50,7,2,13,3,14,0.0999999999999999,mean,109.85034492522323
51,9,3,1,2,14,0.25,mean,-25.9146389277837
52,10,2,1,3,15,-0.3,mean,66.86330969619485
53,7,2,5,1,10,-0.6000000000000001,mean,-248.04651682830035
54,2,2,11,3,13,0.35,mean,-162.92716615690733
55,4,1,1,2,9,0.1999999999999999,mean,313.46074559009753
56,8,1,3,2,15,0.55,mean,52.31039259581985
57,2,1,5,2,12,-0.45,mean,26.232903325398865
58,2,3,12,1,14,0.0999999999999999,mean,79.16017147218372
59,3,1,11,2,2,0.2499999999999999,mean,-108.54661306637581
60,12,2,7,1,12,-2.775557561562892e-17,mean,-129.94835564119353
61,11,1,6,3,11,-0.75,mean,-34.63858688000391
62,8,3,2,2,5,0.15,mean,-83.79916136235943
63,10,1,12,3,1,0.7,mean,111.35687370570076
64,7,2,6,1,7,-0.6000000000000001,mean,-440.87609680755463
65,6,1,6,2,3,0.0499999999999999,mean,3.939605464705437
66,5,1,15,3,4,0.8500000000000001,mean,353.56331871046586
67,1,3,3,2,3,0.15,mean,115.49763421270632
68,12,2,13,3,4,-0.15,mean,227.71137791951696
69,6,1,7,2,13,0.05,mean,61.78831763215135
70,3,1,6,3,13,0.4,mean,-49.22348178120774
71,6,3,6,1,1,-0.8500000000000001,mean,-407.28661597180326
72,9,3,4,2,11,-0.15,mean,114.74332998059413
73,10,2,2,1,3,-0.5,mean,78.75000254038991
74,5,1,15,3,15,0.55,mean,85.88184064510028
75,4,3,8,1,8,0.15,mean,-226.54285661828635
76,7,1,11,3,10,0.0999999999999999,mean,-17.99595967998266
77,11,1,8,3,14,0.3999999999999999,mean,106.1789565333579
78,8,1,15,2,11,0.2999999999999999,mean,-286.0686688356675
79,8,3,6,1,8,-0.4499999999999999,mean,-100.24727824473621
80,11,3,13,2,1,-0.75,mean,-619.3763175703291
81,4,1,3,2,3,0.0499999999999999,mean,75.82798954563418
82,3,2,15,3,10,0.0499999999999999,mean,-150.70028736097356
83,5,2,4,1,14,-0.75,mean,-395.4519815125136
84,2,3,10,1,14,0.0499999999999999,mean,79.22019252911355
85,11,2,14,1,11,0.1,mean,-64.64641843465643
86,6,1,12,2,2,-0.1,mean,-73.69304399357497
87,1,3,11,2,14,-0.9,mean,-38.53604694753744
88,1,2,11,1,12,-0.25,mean,67.25377413591627
89,5,1,4,3,8,0.4,mean,135.82629945071676
90,9,3,1,2,7,-1.0,ind,-66.82798479737153
91,11,1,11,2,10,-1.0,ind,28.83852961092157
92,6,1,8,3,5,0.6000000000000001,ind,53.69290452413588
93,9,2,3,1,15,-0.6,ind,-206.90857985973412
94,3,3,8,1,2,-0.6,ind,-207.58559018211554
95,8,1,13,3,2,1.0,ind,77.61872387965218
96,6,3,5,1,8,-0.6,ind,-53.69290452413588
97,4,2,10,3,9,0.8,ind,52.83494177639773
98,4,3,8,2,15,0.3999999999999999,ind,73.58304079246432
99,1,3,15,1,8,-1.0,ind,-154.3761712865637
100,6,3,5,2,11,0.3999999999999999,ind,55.063910062030345
101,10,1,14,3,4,1.0,ind,194.25382720375978
102,9,2,3,3,2,0.8,ind,11.732409657462767
103,5,3,5,2,8,-1.0,ind,-305.0857836064388
104,3,3,12,2,1,0.0,ind,107.3661441153804
105,5,2,12,1,5,-1.0,ind,-541.6116234912624
106,2,1,13,2,7,0.1999999999999999,ind,93.7121191602173
107,2,1,8,2,10,0.0,ind,-156.44144718195116
108,3,1,10,3,6,1.0,ind,-9.561656195007572
109,1,2,10,3,2,1.0,ind,47.467820917710924
110,8,1,15,2,4,0.8,ind,-209.18474983929173
111,7,2,14,1,14,-0.6,ind,-39.694393304544974
112,6,2,2,3,13,-0.4,ind,30.528583784671355
113,10,3,2,1,6,-0.6,ind,-512.4942793719349
114,1,2,14,3,14,0.6000000000000001,ind,-57.39667340998449
115,11,2,5,3,13,1.0,ind,183.1312377122556
116,7,1,1,3,12,0.3999999999999999,ind,152.74519309663833
117,10,2,3,1,5,-0.1999999999999999,ind,19.981109656087256
118,10,1,8,3,5,0.6000000000000001,ind,252.69056970281213
119,8,2,15,1,12,-0.8,ind,-77.5384272310946
120,12,3,5,2,15,-0.4,ind,-35.537380759249345
121,4,2,3,1,9,-0.4,ind,-115.11808790388454
122,5,3,11,1,15,-1.0,ind,-197.16521740740745
123,4,3,2,2,5,-0.6,ind,235.4858910682658
124,1,2,4,3,14,1.0,ind,-65.81596375930894
125,7,2,10,3,3,0.0,ind,19.47308031348348
126,2,3,2,2,3,0.6000000000000001,ind,-93.21992560990725
127,12,2,7,3,5,0.3999999999999999,ind,105.46375750769312
128,12,3,8,1,4,-1.0,ind,-163.92999550148443
129,5,2,12,1,7,-1.0,ind,-391.2035567306132
130,12,3,2,2,10,-0.6,ind,-274.1875663803603
131,9,3,8,2,8,-0.6,ind,283.3391519009365
132,11,2,14,3,14,0.8,ind,-90.97153135874123
133,7,3,12,1,7,-1.0,ind,-375.45724132622445
134,3,2,4,1,2,-0.1999999999999999,ind,-134.82878901609024
135,3,1,11,2,3,1.0,ind,-162.18032130825873
136,3,1,15,3,1,0.3999999999999999,ind,141.89131004467117
137,8,1,5,2,9,0.6000000000000001,ind,25.918701337159064
138,7,3,1,2,14,0.3999999999999999,ind,-124.95268364040521
139,12,1,10,2,1,-0.1999999999999999,ind,-211.55298159529275
140,1,2,4,1,11,0.3999999999999999,ind,18.467028981974636
141,4,2,4,1,4,-0.4,ind,-199.9215875634286
142,10,1,8,2,13,0.6000000000000001,ind,299.99658630447425
143,2,3,11,1,3,0.1999999999999999,ind,53.630250009658084
144,11,2,10,3,14,0.6000000000000001,ind,-55.163642535006375
145,8,2,9,1,1,-0.6,ind,-59.13197084426588
146,3,1,4,3,3,0.6000000000000001,ind,-188.68865325645447
147,6,2,5,1,12,0.0,ind,-19.082638161468594
148,6,3,9,1,6,-0.4,ind,20.398664455361768
149,12,2,6,3,12,0.3999999999999999,ind,-11.15065685023842
150,6,1,4,3,3,0.3999999999999999,ind,145.60708709853589
151,1,2,2,3,11,0.3999999999999999,ind,-76.55448056230466
152,9,3,6,2,1,0.3999999999999999,ind,-234.7528050638507
153,5,3,8,2,1,-0.6,ind,-130.58155434972514
154,7,1,11,2,6,0.6000000000000001,ind,324.903129470006
155,7,2,1,1,11,0.3999999999999999,ind,-250.01808325631805
156,2,2,12,3,11,-0.6,ind,-48.090958896345
157,4,2,3,1,4,-0.1999999999999999,ind,-172.84498781562797
158,1,2,10,1,3,-0.4,ind,-260.3259644036316
159,8,1,13,3,8,0.6000000000000001,ind,146.08561149895513
160,7,1,5,2,2,0.6000000000000001,ind,343.5397769901149
161,4,3,8,2,6,0.3999999999999999,ind,-38.401316710261426
162,5,2,7,3,3,0.3999999999999999,ind,412.02466777250106
163,9,3,13,2,3,-0.1999999999999999,ind,158.211291670719
164,10,3,4,2,9,0.1999999999999999,ind,121.32478130364848
165,11,1,12,3,11,-0.1999999999999999,ind,-86.95865238460397
166,1,2,2,3,7,0.6000000000000001,ind,-135.7687322527495
167,10,3,5,1,11,-0.4,ind,-513.7865670849353
168,11,2,1,1,15,0.6000000000000001,ind,532.8549584491129
169,10,3,1,2,12,0.3999999999999999,ind,16.668760103890236
170,2,3,6,1,14,0.3999999999999999,ind,69.04945847169142
171,4,2,6,3,14,-0.4,ind,-67.20358840691097
172,5,1,1,2,4,0.3999999999999999,ind,369.5503156839727
173,6,3,6,2,3,0.1999999999999999,ind,-9.739729864915489
174,12,3,2,1,2,-0.6,ind,-187.52122807537944
175,9,3,3,1,5,-0.4,ind,-389.8503864386794
176,2,3,7,2,11,-0.4,ind,93.29188807770765
177,3,1,11,3,4,0.1999999999999999,ind,-43.50887107417043
