,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,613.9672912486822
1,8,3,11,1,15,-0.6,mean,-962.4427966547919
2,9,1,3,2,4,0.0499999999999999,mean,1067.9008004189136
3,7,2,13,3,7,0.2499999999999999,mean,-82.32182766667029
4,2,1,8,2,7,0.3999999999999999,mean,308.4373479954802
5,3,2,9,1,11,-0.8500000000000001,mean,-961.0317535337163
6,7,1,10,2,5,0.8,mean,959.6347657218394
7,5,2,4,3,14,-0.45,mean,695.2230796942604
8,1,3,15,1,8,-0.95,mean,-291.0051759272583
9,9,1,10,3,10,0.85,mean,1961.625077013944
10,11,3,11,2,12,0.75,mean,1400.5871277898568
11,11,3,10,2,3,-0.85,mean,-308.7443393744161
12,3,2,9,1,7,-0.6000000000000001,mean,-1173.8871453822458
13,8,2,5,3,10,-0.35,mean,143.00589473202763
14,5,1,1,2,5,0.1999999999999999,mean,793.8220757558411
15,6,1,12,3,13,-0.1,mean,-361.9073802513258
16,4,2,6,3,13,0.0499999999999999,mean,-312.79244780976387
17,7,1,15,2,11,0.45,mean,1373.96458901587
18,1,1,11,2,3,0.75,mean,461.4520706919757
19,11,1,11,3,4,0.6000000000000001,mean,943.7044805308642
20,10,1,2,2,7,0.8,mean,878.0161066951914
21,8,1,10,2,10,0.1999999999999999,mean,-286.9833324721476
22,12,2,6,3,14,0.0499999999999999,mean,216.27154746199903
23,12,3,4,1,1,-0.1999999999999999,mean,-1279.5625023048597
24,2,2,7,3,7,2.775557561562892e-17,mean,-112.75640601570376
25,2,1,3,2,6,0.4499999999999999,mean,1495.2736102725676
26,4,3,7,2,11,-0.25,mean,-246.13204377122474
27,6,1,2,2,5,0.3,mean,488.8987340666772
28,1,3,7,2,11,-0.75,mean,202.15353400329423
29,5,3,14,1,6,-0.2,mean,-1989.2521473574325
30,9,2,13,1,2,-0.95,mean,-1258.9156673234338
31,12,3,12,2,2,-0.05,mean,202.6279463467199
32,4,2,3,3,6,0.0,mean,33.058645883746976
33,2,3,1,1,1,-0.5,mean,-125.76792113444117
34,12,2,5,3,8,0.0999999999999999,mean,67.05472222419121
35,11,3,2,1,9,-0.8500000000000001,mean,-1954.1006008591357
36,9,3,2,2,13,0.4,mean,-141.7060735803134
37,10,1,14,3,2,0.9,mean,1845.2849589198477
38,4,2,9,1,5,0.0499999999999999,mean,-806.4467321330276
39,7,3,11,1,11,-0.4,mean,-1664.3393051657185
40,3,3,1,2,5,-0.75,mean,-743.1789298869007
41,10,2,14,1,10,-0.9,mean,-853.4754833781026
42,5,2,12,1,5,-0.5,mean,-1917.9500650505533
43,5,3,3,1,14,-0.45,mean,-2579.8782740889737
44,7,3,9,2,1,0.1,mean,23.467776884642262
45,3,3,4,2,15,-0.2499999999999999,mean,186.5401957595859
46,12,1,3,2,5,0.4,mean,520.4025918282841
47,10,3,4,2,11,0.3,mean,188.79224699250972
48,9,2,8,3,13,0.7,mean,-267.04960841772026
49,1,1,12,3,9,0.8,mean,454.89412588037885
50,7,2,13,3,14,0.0999999999999999,mean,435.99712668074244
51,9,3,1,2,14,0.25,mean,-553.8629921714892
52,10,2,1,3,15,-0.3,mean,188.30601709060375
53,7,2,5,1,10,-0.6000000000000001,mean,-959.6347657218394
54,2,2,11,3,13,0.35,mean,132.09108161523727
55,4,1,1,2,9,0.1999999999999999,mean,798.8338992546014
56,8,1,3,2,15,0.55,mean,726.0153115646572
57,2,1,5,2,12,-0.45,mean,-98.50927764751032
58,2,3,12,1,14,0.0999999999999999,mean,-440.58689899604997
59,3,1,11,2,2,0.2499999999999999,mean,382.3936650042224
60,12,2,7,1,12,-2.775557561562892e-17,mean,-484.02324289042554
61,11,1,6,3,11,-0.75,mean,-1191.1540276845344
62,8,3,2,2,5,0.15,mean,-166.09089070745995
63,10,1,12,3,1,0.7,mean,923.8565862170663
64,7,2,6,1,7,-0.6000000000000001,mean,-1090.5018051919687
65,6,1,6,2,3,0.0499999999999999,mean,-30.03906962257497
66,5,1,15,3,4,0.8500000000000001,mean,1325.298843116684
67,1,3,3,2,3,0.15,mean,488.97868869001195
68,12,2,13,3,4,-0.15,mean,730.629945400412
69,6,1,7,2,13,0.05,mean,80.61105386057352
70,3,1,6,3,13,0.4,mean,643.9808468380998
71,6,3,6,1,1,-0.8500000000000001,mean,-885.7014638586224
72,9,3,4,2,11,-0.15,mean,-225.29699003069072
73,10,2,2,1,3,-0.5,mean,636.1548053380357
74,5,1,15,3,15,0.55,mean,360.29062921893274
75,4,3,8,1,8,0.15,mean,-1283.25988005209
76,7,1,11,3,10,0.0999999999999999,mean,1077.6741159131197
77,11,1,8,3,14,0.3999999999999999,mean,274.4706946496317
78,8,1,15,2,11,0.2999999999999999,mean,-50.326926610417104
79,8,3,6,1,8,-0.4499999999999999,mean,-709.8540288833565
80,11,3,13,2,1,-0.75,mean,-2245.667178538205
81,4,1,3,2,3,0.0499999999999999,mean,1025.3692759897422
82,3,2,15,3,10,0.0499999999999999,mean,-351.8507112749239
83,5,2,4,1,14,-0.75,mean,-2408.320516249669
84,2,3,10,1,14,0.0499999999999999,mean,-483.7223655046064
85,11,2,14,1,11,0.1,mean,990.2110039970466
86,6,1,12,2,2,-0.1,mean,-376.026193605594
87,1,3,11,2,14,-0.9,mean,-161.86453277477813
88,1,2,11,1,12,-0.25,mean,-512.1816517254047
89,5,1,4,3,8,0.4,mean,1428.7794078289462
90,9,3,1,2,7,-1.0,ind,-395.24626078607434
91,11,1,11,2,10,-1.0,ind,61.70651019244997
92,6,1,8,3,5,0.6000000000000001,ind,538.5550135439398
93,9,2,3,1,15,-0.6,ind,-258.8997209959143
94,3,3,8,1,2,-0.6,ind,-1962.6037485670258
95,8,1,13,3,2,1.0,ind,154.55720976455268
96,6,3,5,1,8,-0.6,ind,-538.5550135439398
97,4,2,10,3,9,0.8,ind,-112.7587824411803
98,4,3,8,2,15,0.3999999999999999,ind,258.98603563234246
99,1,3,15,1,8,-1.0,ind,-291.0051759272583
100,6,3,5,2,11,0.3999999999999999,ind,-305.9008096181542
101,10,1,14,3,4,1.0,ind,1283.6037849657723
102,9,2,3,3,2,0.8,ind,89.58636054982344
103,5,3,5,2,8,-1.0,ind,-1653.1886367453317
104,3,3,12,2,1,0.0,ind,182.61015591775686
105,5,2,12,1,5,-1.0,ind,-1917.9500650505533
106,2,1,13,2,7,0.1999999999999999,ind,916.2725165039346
107,2,1,8,2,10,0.0,ind,-52.98412898458173
108,3,1,10,3,6,1.0,ind,371.6541330759346
109,1,2,10,3,2,1.0,ind,492.69535550951787
110,8,1,15,2,4,0.8,ind,22.542205448786262
111,7,2,14,1,14,-0.6,ind,-105.20687818590432
112,6,2,2,3,13,-0.4,ind,14.11881335426824
113,10,3,2,1,6,-0.6,ind,-1990.5512354929342
114,1,2,14,3,14,0.6000000000000001,ind,-269.1096586013946
115,11,2,5,3,13,1.0,ind,356.20031283196477
116,7,1,1,3,12,0.3999999999999999,ind,-81.00744650596243
117,10,2,3,1,5,-0.1999999999999999,ind,626.7601672187266
118,10,1,8,3,5,0.6000000000000001,ind,1306.4200618805744
119,8,2,15,1,12,-0.8,ind,-253.3546261256961
120,12,3,5,2,15,-0.4,ind,-203.43659489398578
