,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,864.5323835369009
1,8,3,11,1,15,-0.6,mean,-901.3486732515576
2,9,1,3,2,4,0.0499999999999999,mean,891.1005094737429
3,7,2,13,3,7,0.2499999999999999,mean,-210.5193486412354
4,2,1,8,2,7,0.3999999999999999,mean,193.48230156756017
5,3,2,9,1,11,-0.8500000000000001,mean,-1001.5925978898749
6,7,1,10,2,5,0.8,mean,1038.299205371618
7,5,2,4,3,14,-0.45,mean,638.0075747412138
8,1,3,15,1,8,-0.95,mean,-111.48073280140488
9,9,1,10,3,10,0.85,mean,2098.5624124648384
10,11,3,11,2,12,0.75,mean,1069.065000917497
11,11,3,10,2,3,-0.85,mean,-183.6533462507823
12,3,2,9,1,7,-0.6000000000000001,mean,-1256.5587726931817
13,8,2,5,3,10,-0.35,mean,172.94367043498187
14,5,1,1,2,5,0.1999999999999999,mean,897.7489680678082
15,6,1,12,3,13,-0.1,mean,-201.52870631578298
16,4,2,6,3,13,0.0499999999999999,mean,-405.31151809087714
17,7,1,15,2,11,0.45,mean,1373.7461754562937
18,1,1,11,2,3,0.75,mean,521.6504816126517
19,11,1,11,3,4,0.6000000000000001,mean,901.6770996985724
20,10,1,2,2,7,0.8,mean,644.7223951330343
21,8,1,10,2,10,0.1999999999999999,mean,-337.98086246788444
22,12,2,6,3,14,0.0499999999999999,mean,-57.711834010677194
23,12,3,4,1,1,-0.1999999999999999,mean,-1011.6965777698815
24,2,2,7,3,7,2.775557561562892e-17,mean,-59.281597425919244
25,2,1,3,2,6,0.4499999999999999,mean,1474.7192685009304
26,4,3,7,2,11,-0.25,mean,-211.26640651489924
27,6,1,2,2,5,0.3,mean,257.56893309070074
28,1,3,7,2,11,-0.75,mean,385.61481863513836
29,5,3,14,1,6,-0.2,mean,-1961.5011564189972
30,9,2,13,1,2,-0.95,mean,-1205.7905270949232
31,12,3,12,2,2,-0.05,mean,335.4098143898291
32,4,2,3,3,6,0.0,mean,-125.75557727482101
33,2,3,1,1,1,-0.5,mean,-75.15904433382002
34,12,2,5,3,8,0.0999999999999999,mean,97.21551881022788
35,11,3,2,1,9,-0.8500000000000001,mean,-1684.8795891194923
36,9,3,2,2,13,0.4,mean,-214.1814326830363
37,10,1,14,3,2,0.9,mean,1769.7076888855854
38,4,2,9,1,5,0.0499999999999999,mean,-940.2189472836544
39,7,3,11,1,11,-0.4,mean,-1523.7721347121505
40,3,3,1,2,5,-0.75,mean,-725.1845242154732
41,10,2,14,1,10,-0.9,mean,-1035.1013940744688
42,5,2,12,1,5,-0.5,mean,-1961.3044214899683
43,5,3,3,1,14,-0.45,mean,-2753.574019579478
44,7,3,9,2,1,0.1,mean,79.06602436620142
45,3,3,4,2,15,-0.2499999999999999,mean,414.1679823484119
46,12,1,3,2,5,0.4,mean,307.73948968277455
47,10,3,4,2,11,0.3,mean,388.0689509270005
48,9,2,8,3,13,0.7,mean,-287.89157207896005
49,1,1,12,3,9,0.8,mean,559.3599829591158
50,7,2,13,3,14,0.0999999999999999,mean,549.4529993665374
51,9,3,1,2,14,0.25,mean,-553.8115630806487
52,10,2,1,3,15,-0.3,mean,243.50894788346432
53,7,2,5,1,10,-0.6000000000000001,mean,-1038.299205371618
54,2,2,11,3,13,0.35,mean,224.33781337514574
55,4,1,1,2,9,0.1999999999999999,mean,1269.1126263269298
56,8,1,3,2,15,0.55,mean,562.1605821838202
57,2,1,5,2,12,-0.45,mean,-116.50234687234934
58,2,3,12,1,14,0.0999999999999999,mean,-622.8502843267652
59,3,1,11,2,2,0.2499999999999999,mean,54.9944495222544
