,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,1513.5751772972853
1,8,3,11,1,15,-0.6,mean,-1447.3851979466053
2,9,1,3,2,4,0.0499999999999999,mean,417.65791175218146
3,7,2,13,3,7,0.2499999999999999,mean,-49.77466489782091
4,2,1,8,2,7,0.3999999999999999,mean,676.2090499861697
5,3,2,9,1,11,-0.8500000000000001,mean,-1898.662111975491
6,7,1,10,2,5,0.8,mean,1785.591852083302
7,5,2,4,3,14,-0.45,mean,1425.157983709425
8,1,3,15,1,8,-0.95,mean,-1709.6638138221533
9,9,1,10,3,10,0.85,mean,3663.1123249307566
10,11,3,11,2,12,0.75,mean,2168.915223136908
11,11,3,10,2,3,-0.85,mean,-1771.1230707699742
12,3,2,9,1,7,-0.6000000000000001,mean,-2247.7982459417053
13,8,2,5,3,10,-0.35,mean,-124.95884167575787
14,5,1,1,2,5,0.1999999999999999,mean,647.22400362607
15,6,1,12,3,13,-0.1,mean,-70.46412009385313
16,4,2,6,3,13,0.0499999999999999,mean,-740.864557630448
17,7,1,15,2,11,0.45,mean,2409.5406833543475
18,1,1,11,2,3,0.75,mean,2002.5052297432976
19,11,1,11,3,4,0.6000000000000001,mean,1700.6744653533115
20,10,1,2,2,7,0.8,mean,1786.0774947994596
21,8,1,10,2,10,0.1999999999999999,mean,18.742388738211957
22,12,2,6,3,14,0.0499999999999999,mean,521.912083361889
23,12,3,4,1,1,-0.1999999999999999,mean,-1988.349478685328
24,2,2,7,3,7,2.775557561562892e-17,mean,-246.6509679165065
25,2,1,3,2,6,0.4499999999999999,mean,2303.303956440919
26,4,3,7,2,11,-0.25,mean,-428.33562573904055
27,6,1,2,2,5,0.3,mean,824.8424676352643
28,1,3,7,2,11,-0.75,mean,18.134843005462244
29,5,3,14,1,6,-0.2,mean,-2977.1699726286915
30,9,2,13,1,2,-0.95,mean,-2081.451161277868
31,12,3,12,2,2,-0.05,mean,-281.19708222750705
32,4,2,3,3,6,0.0,mean,-577.2497333176052
33,2,3,1,1,1,-0.5,mean,-795.28885735945
34,12,2,5,3,8,0.0999999999999999,mean,267.74331011834875
35,11,3,2,1,9,-0.8500000000000001,mean,-2867.7889519843357
36,9,3,2,2,13,0.4,mean,-208.55412874766625
37,10,1,14,3,2,0.9,mean,3636.0939016278007
38,4,2,9,1,5,0.0499999999999999,mean,-1003.1360240137219
39,7,3,11,1,11,-0.4,mean,-2889.433405563439
40,3,3,1,2,5,-0.75,mean,-1692.3450286602965
41,10,2,14,1,10,-0.9,mean,-1931.415202469614
42,5,2,12,1,5,-0.5,mean,-2700.4367737558478
43,5,3,3,1,14,-0.45,mean,-4085.8804407750595
44,7,3,9,2,1,0.1,mean,101.94054858525305
45,3,3,4,2,15,-0.2499999999999999,mean,-511.4893285101043
46,12,1,3,2,5,0.4,mean,1091.93334765275
47,10,3,4,2,11,0.3,mean,615.3182058691546
48,9,2,8,3,13,0.7,mean,-911.9277820749994
49,1,1,12,3,9,0.8,mean,1375.318825094113
50,7,2,13,3,14,0.0999999999999999,mean,508.0597817015787
51,9,3,1,2,14,0.25,mean,-915.7040568980738
52,10,2,1,3,15,-0.3,mean,103.94393353219311
53,7,2,5,1,10,-0.6000000000000001,mean,-1785.591852083302
54,2,2,11,3,13,0.35,mean,171.306871794397
55,4,1,1,2,9,0.1999999999999999,mean,2009.416707868755
56,8,1,3,2,15,0.55,mean,1129.2918567870947
57,2,1,5,2,12,-0.45,mean,-250.53974428906258
58,2,3,12,1,14,0.0999999999999999,mean,-1054.8282609828457
59,3,1,11,2,2,0.2499999999999999,mean,895.6362304169743
60,12,2,7,1,12,-2.775557561562892e-17,mean,-930.9369478331719
61,11,1,6,3,11,-0.75,mean,-1403.5224382565866
62,8,3,2,2,5,0.15,mean,-245.8419962173466
63,10,1,12,3,1,0.7,mean,2099.9860097566325
64,7,2,6,1,7,-0.6000000000000001,mean,-1788.047763210583
65,6,1,6,2,3,0.0499999999999999,mean,-333.1974611290243
66,5,1,15,3,4,0.8500000000000001,mean,2693.7525879329496
67,1,3,3,2,3,0.15,mean,1010.1568334457461
68,12,2,13,3,4,-0.15,mean,906.157348629551
69,6,1,7,2,13,0.05,mean,567.6525765058232
70,3,1,6,3,13,0.4,mean,955.0100022469596
71,6,3,6,1,1,-0.8500000000000001,mean,-2153.1188045047493
72,9,3,4,2,11,-0.15,mean,-267.3126350794482
73,10,2,2,1,3,-0.5,mean,539.6629420570225
74,5,1,15,3,15,0.55,mean,1217.3510075518589
75,4,3,8,1,8,0.15,mean,-1804.3552998529085
76,7,1,11,3,10,0.0999999999999999,mean,2369.1795215694656
77,11,1,8,3,14,0.3999999999999999,mean,1214.7731694016402
78,8,1,15,2,11,0.2999999999999999,mean,196.69395598149094
79,8,3,6,1,8,-0.4499999999999999,mean,-998.5968482945063
80,11,3,13,2,1,-0.75,mean,-4175.9831192683705
81,4,1,3,2,3,0.0499999999999999,mean,2497.7444529135682
82,3,2,15,3,10,0.0499999999999999,mean,-9.178065659476488
