,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,104.74441733493359
1,8,3,11,1,15,-0.6,mean,-114.30639145156715
2,9,1,3,2,4,0.0499999999999999,mean,186.82904815873349
3,7,2,13,3,7,0.2499999999999999,mean,-93.6535455596279
4,2,1,8,2,7,0.3999999999999999,mean,13.337455624319091
5,3,2,9,1,11,-0.8500000000000001,mean,-234.23882735771758
6,7,1,10,2,5,0.8,mean,373.85703032508695
7,5,2,4,3,14,-0.45,mean,116.67893568170189
8,1,3,15,1,8,-0.95,mean,-174.77999526420194
9,9,1,10,3,10,0.85,mean,612.3632276426135
10,11,3,11,2,12,0.75,mean,99.10201385627079
11,11,3,10,2,3,-0.85,mean,-260.0003948280655
12,3,2,9,1,7,-0.6000000000000001,mean,-200.88578576079226
13,8,2,5,3,10,-0.35,mean,38.64141755673154
14,5,1,1,2,5,0.1999999999999999,mean,447.46128432350224
15,6,1,12,3,13,-0.1,mean,75.58150463586662
16,4,2,6,3,13,0.0499999999999999,mean,-150.66315691170894
17,7,1,15,2,11,0.45,mean,405.8306343240681
18,1,1,11,2,3,0.75,mean,130.42386196013445
19,11,1,11,3,4,0.6000000000000001,mean,215.8619321879528
20,10,1,2,2,7,0.8,mean,108.17718482531814
21,8,1,10,2,10,0.1999999999999999,mean,-153.46714294607295
22,12,2,6,3,14,0.0499999999999999,mean,99.84290552093239
23,12,3,4,1,1,-0.1999999999999999,mean,-471.07186640466807
24,2,2,7,3,7,2.775557561562892e-17,mean,-172.07314162148964
25,2,1,3,2,6,0.4499999999999999,mean,441.2788022108266
26,4,3,7,2,11,-0.25,mean,-24.714846573320756
27,6,1,2,2,5,0.3,mean,177.80097877307935
28,1,3,7,2,11,-0.75,mean,55.20187115755584
29,5,3,14,1,6,-0.2,mean,-694.9664922924594
30,9,2,13,1,2,-0.95,mean,-394.2113005501308
31,12,3,12,2,2,-0.05,mean,5.793377906183423
32,4,2,3,3,6,0.0,mean,24.291073232658164
33,2,3,1,1,1,-0.5,mean,123.88787932980381
