,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,850.8636806189804
1,8,3,11,1,15,-0.6,mean,-182.1699940834069
2,9,1,3,2,4,0.0499999999999999,mean,-342.77374490868806
3,7,2,13,3,7,0.2499999999999999,mean,180.72890093136516
4,2,1,8,2,7,0.3999999999999999,mean,160.62648262545054
5,3,2,9,1,11,-0.8500000000000001,mean,-262.4558071385893
6,7,1,10,2,5,0.8,mean,189.51075041918193
7,5,2,4,3,14,-0.45,mean,288.9049174129714
8,1,3,15,1,8,-0.95,mean,-658.6122978857866
9,9,1,10,3,10,0.85,mean,859.9030494345677
10,11,3,11,2,12,0.75,mean,223.24289688817566
11,11,3,10,2,3,-0.85,mean,-510.1768815659668
12,3,2,9,1,7,-0.6000000000000001,mean,-487.806249756987
13,8,2,5,3,10,-0.35,mean,28.171287621494457
14,5,1,1,2,5,0.1999999999999999,mean,251.9271367562044
15,6,1,12,3,13,-0.1,mean,61.848527991410265
16,4,2,6,3,13,0.0499999999999999,mean,-262.69313738143046
17,7,1,15,2,11,0.45,mean,697.3993609843717
18,1,1,11,2,3,0.75,mean,380.90622173150155
19,11,1,11,3,4,0.6000000000000001,mean,378.2269245606558
20,10,1,2,2,7,0.8,mean,397.2899383545414
21,8,1,10,2,10,0.1999999999999999,mean,6.277526200148031
22,12,2,6,3,14,0.0499999999999999,mean,178.09345054610162
23,12,3,4,1,1,-0.1999999999999999,mean,-252.09719484414404
24,2,2,7,3,7,2.775557561562892e-17,mean,-99.8391491946254
25,2,1,3,2,6,0.4499999999999999,mean,413.4542660066759
26,4,3,7,2,11,-0.25,mean,-19.651959078099708
27,6,1,2,2,5,0.3,mean,160.2969030881227
28,1,3,7,2,11,-0.75,mean,-178.69614985751218
29,5,3,14,1,6,-0.2,mean,-754.8133399905917
30,9,2,13,1,2,-0.95,mean,-332.3776241297917
31,12,3,12,2,2,-0.05,mean,-328.0944596248444
32,4,2,3,3,6,0.0,mean,-81.70102959460246
33,2,3,1,1,1,-0.5,mean,-415.06056357403395
34,12,2,5,3,8,0.0999999999999999,mean,235.51368365690996
35,11,3,2,1,9,-0.8500000000000001,mean,-254.8584560071663
36,9,3,2,2,13,0.4,mean,62.908854537276966
37,10,1,14,3,2,0.9,mean,870.0117393485566
38,4,2,9,1,5,0.0499999999999999,mean,-244.34157662744724
39,7,3,11,1,11,-0.4,mean,-386.9724049317483
40,3,3,1,2,5,-0.75,mean,-548.2290595772063
41,10,2,14,1,10,-0.9,mean,-173.6423854260231
42,5,2,12,1,5,-0.5,mean,-352.29490526441464
43,5,3,3,1,14,-0.45,mean,-628.0101992331465
44,7,3,9,2,1,0.1,mean,-37.08509963291499
45,3,3,4,2,15,-0.2499999999999999,mean,-107.64835054197624
46,12,1,3,2,5,0.4,mean,215.32714528049428
47,10,3,4,2,11,0.3,mean,388.77574076549513
48,9,2,8,3,13,0.7,mean,-436.94316520419693
49,1,1,12,3,9,0.8,mean,483.09713971838573
50,7,2,13,3,14,0.0999999999999999,mean,142.9587490472377
51,9,3,1,2,14,0.25,mean,205.6058260307882
52,10,2,1,3,15,-0.3,mean,149.6016549781582
53,7,2,5,1,10,-0.6000000000000001,mean,-189.51075041918193
54,2,2,11,3,13,0.35,mean,-119.29307272395022
55,4,1,1,2,9,0.1999999999999999,mean,618.6250196086203
56,8,1,3,2,15,0.55,mean,292.1234131449171
57,2,1,5,2,12,-0.45,mean,283.3814791154491
