,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,93.78063676684451
1,8,3,11,1,15,-0.6,mean,-131.461965187008
2,9,1,3,2,4,0.0499999999999999,mean,196.14459498525684
3,7,2,13,3,7,0.2499999999999999,mean,-82.61713898675112
4,2,1,8,2,7,0.3999999999999999,mean,28.25874224343329
5,3,2,9,1,11,-0.8500000000000001,mean,-280.6370856191604
6,7,1,10,2,5,0.8,mean,352.48804034063846
7,5,2,4,3,14,-0.45,mean,123.69082774659137
8,1,3,15,1,8,-0.95,mean,-169.07480030047964
9,9,1,10,3,10,0.85,mean,593.5852031158904
10,11,3,11,2,12,0.75,mean,258.870612339221
11,11,3,10,2,3,-0.85,mean,-258.6974394096658
12,3,2,9,1,7,-0.6000000000000001,mean,-238.061999845738
13,8,2,5,3,10,-0.35,mean,7.618823572937117
14,5,1,1,2,5,0.1999999999999999,mean,445.95565648290767
15,6,1,12,3,13,-0.1,mean,46.01646489917471
16,4,2,6,3,13,0.0499999999999999,mean,-103.22326379631158
17,7,1,15,2,11,0.45,mean,413.2877837468088
18,1,1,11,2,3,0.75,mean,129.53830703059862
19,11,1,11,3,4,0.6000000000000001,mean,352.03622144985934
20,10,1,2,2,7,0.8,mean,181.08522379000146
21,8,1,10,2,10,0.1999999999999999,mean,-175.733817162788
22,12,2,6,3,14,0.0499999999999999,mean,110.69769506479793
23,12,3,4,1,1,-0.1999999999999999,mean,-468.6120354551822
24,2,2,7,3,7,2.775557561562892e-17,mean,-143.99510609022923
25,2,1,3,2,6,0.4499999999999999,mean,435.846662584745
26,4,3,7,2,11,-0.25,mean,-38.430861463277324
27,6,1,2,2,5,0.3,mean,194.26506645044287
28,1,3,7,2,11,-0.75,mean,68.16409052460745
29,5,3,14,1,6,-0.2,mean,-691.0569720250835
30,9,2,13,1,2,-0.95,mean,-405.413709003823
31,12,3,12,2,2,-0.05,mean,-1.7569584751045113
32,4,2,3,3,6,0.0,mean,61.53010982922365
33,2,3,1,1,1,-0.5,mean,109.390923314789
34,12,2,5,3,8,0.0999999999999999,mean,90.23143527089223
35,11,3,2,1,9,-0.8500000000000001,mean,-706.1154090958162
36,9,3,2,2,13,0.4,mean,61.68389510879615
37,10,1,14,3,2,0.9,mean,480.75355692971357
38,4,2,9,1,5,0.0499999999999999,mean,-127.89966422127623
39,7,3,11,1,11,-0.4,mean,-318.08005199260583
40,3,3,1,2,5,-0.75,mean,-290.71640325719045
41,10,2,14,1,10,-0.9,mean,-268.59833756243916
42,5,2,12,1,5,-0.5,mean,-668.572069078492
43,5,3,3,1,14,-0.45,mean,-790.0179618828495
44,7,3,9,2,1,0.1,mean,-14.284157339001013
