,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
0,10,1,14,3,15,0.6,mean,726.1094964937424
1,8,3,11,1,15,-0.6,mean,-141.1118567171552
2,9,1,3,2,4,0.0499999999999999,mean,-233.5213162322134
3,7,2,13,3,7,0.2499999999999999,mean,80.33461565059702
4,2,1,8,2,7,0.3999999999999999,mean,171.89989247981498
5,3,2,9,1,11,-0.8500000000000001,mean,-234.64773649856465
6,7,1,10,2,5,0.8,mean,179.42231758981848
7,5,2,4,3,14,-0.45,mean,292.7186782301437
8,1,3,15,1,8,-0.95,mean,-748.4877330992674
9,9,1,10,3,10,0.85,mean,764.3017459123598
10,11,3,11,2,12,0.75,mean,249.29431038933967
11,11,3,10,2,3,-0.85,mean,-405.6830959652966
12,3,2,9,1,7,-0.6000000000000001,mean,-411.29321902319793
13,8,2,5,3,10,-0.35,mean,-3.3492926793039715
14,5,1,1,2,5,0.1999999999999999,mean,210.49272169580672
15,6,1,12,3,13,-0.1,mean,80.585953814611
16,4,2,6,3,13,0.0499999999999999,mean,-249.35052438477487
17,7,1,15,2,11,0.45,mean,648.362398955235
18,1,1,11,2,3,0.75,mean,385.10736670305914
19,11,1,11,3,4,0.6000000000000001,mean,435.97470422190827
20,10,1,2,2,7,0.8,mean,422.1285093438587
21,8,1,10,2,10,0.1999999999999999,mean,-42.6279368741491
22,12,2,6,3,14,0.0499999999999999,mean,180.42885834739104
23,12,3,4,1,1,-0.1999999999999999,mean,-331.83665502372924
24,2,2,7,3,7,2.775557561562892e-17,mean,-105.12332209659075
25,2,1,3,2,6,0.4499999999999999,mean,430.66029964275754
26,4,3,7,2,11,-0.25,mean,-38.42353747330503
27,6,1,2,2,5,0.3,mean,144.28811395583944
28,1,3,7,2,11,-0.75,mean,-206.8171577936714
29,5,3,14,1,6,-0.2,mean,-746.4027598188395
30,9,2,13,1,2,-0.95,mean,-470.0464389838435
31,12,3,12,2,2,-0.05,mean,-265.89322532686765
32,4,2,3,3,6,0.0,mean,-114.07826209326822
33,2,3,1,1,1,-0.5,mean,-395.51188871578006
34,12,2,5,3,8,0.0999999999999999,mean,108.34122230786693
35,11,3,2,1,9,-0.8500000000000001,mean,-332.25628341236416
36,9,3,2,2,13,0.4,mean,120.05541595357113
37,10,1,14,3,2,0.9,mean,824.7954517269818
38,4,2,9,1,5,0.0499999999999999,mean,-197.3529264958106
39,7,3,11,1,11,-0.4,mean,-378.3131359618644
40,3,3,1,2,5,-0.75,mean,-470.82608412067225
